LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-0.003048468,0.004930674,0.001285701,0,0,0,0,0,0,0.02,antebraco.L

0.0003219182,-0.0005206791,-0.00013577,0,0,0,0,0,0,0.3533334,antebraco.L

-6.938286E-05,0.0001122217,2.926245E-05,0,0,0,0,0,0,0.5332239,antebraco.L

-0.0001802836,0.0002915955,7.603519E-05,0,0,0,0,0,0,0.6388838,antebraco.L

-0.001297676,0.002098895,0.0005472989,0,0,0,0,0,0,0.6849332,antebraco.L

0.0005366176,-0.0008679398,-0.0002263202,0,0,0,0,0,0,0.7581164,antebraco.L

-0.0006285117,0.001016572,0.0002650768,0,0,0,0,0,0,0.8079141,antebraco.L

-0.001150169,0.001860314,0.0004850875,0,0,0,0,0,0,0.8431404,antebraco.L

0.0008242955,-0.001333238,-0.0003476494,0,0,0,0,0,0,0.8934115,antebraco.L

-8.656793E-05,0.0001400173,3.651029E-05,0,0,0,0,0,0,0.9416097,antebraco.L

0.0006275666,-0.001015043,-0.0002646782,0,0,0,0,0,0,1.123375,antebraco.L

-0.00134241,0.00217125,0.0005661657,0,0,0,0,0,0,1.172223,antebraco.L

0.0001737508,-0.0002810293,-7.327999E-05,0,0,0,0,0,0,1.226127,antebraco.L

-9.509736E-05,0.0001538129,4.010766E-05,0,0,0,0,0,0,1.277281,antebraco.L

9.335945E-05,-0.000151002,-3.937463E-05,0,0,0,0,0,0,1.331291,antebraco.L

-0.0005376364,0.0008695874,0.0002267498,0,0,0,0,0,0,1.374293,antebraco.L

0.000501339,-0.000810879,-0.0002114414,0,0,0,0,0,0,1.432027,antebraco.L

-0.0004263888,0.0006896527,0.0001798309,0,0,0,0,0,0,1.478746,antebraco.L

6.921336E-06,-1.119493E-05,-2.919133E-06,0,0,0,0,0,0,1.52561,antebraco.L

-0.0007230142,0.001169423,0.0003049335,0,0,0,0,0,0,1.562843,antebraco.L

0.0004518248,-0.0007307935,-0.0001905586,0,0,0,0,0,0,1.747429,antebraco.L

-0.002882956,0.00466297,0.001215896,0,0,0,0,0,0,1.782742,antebraco.L

0.0009643958,-0.00155984,-0.0004067371,0,0,0,0,0,0,1.845951,antebraco.L

-0.000196611,0.0003180037,8.292131E-05,0,0,0,0,0,0,1.901343,antebraco.L

-0.001520889,0.002459926,0.0006414398,0,0,0,0,0,0,1.935996,antebraco.L

0.0001961,-0.0003171777,-8.270589E-05,0,0,0,0,0,0,1.972505,antebraco.L

0.0006794976,-0.001099038,-0.0002865803,0,0,0,0,0,0,2.020952,antebraco.L

-0.0007128482,0.00115298,0.0003006461,0,0,0,0,0,0,2.059096,antebraco.L

6.567407E-05,-0.0001062236,-2.769834E-05,0,0,0,0,0,0,2.098019,antebraco.L

0.0007700026,-0.001245423,-0.000324751,0,0,0,0,0,0,2.162452,antebraco.L

-2987.286,1773.947,6294.479,0,0,0,0,0,0,2.38962,antebraco.L

-0.00794264,-0.000834347,3.7107E-05,0,0,0,0,0,0,2.430177,antebraco.L

-0.002039316,-0.0002142229,9.52742E-06,0,0,0,0,0,0,2.465073,antebraco.L

0.002681401,0.0002816719,-1.252716E-05,0,0,0,0,0,0,2.511121,antebraco.L

0.000450462,4.731944E-05,-2.104501E-06,0,0,0,0,0,0,2.559948,antebraco.L

-0.000642688,-6.751217E-05,3.002557E-06,0,0,0,0,0,0,2.605169,antebraco.L

0.0003841326,4.035186E-05,-1.794621E-06,0,0,0,0,0,0,2.652584,antebraco.L

0.001409375,0.0001480499,-6.584417E-06,0,0,0,0,0,0,2.714311,antebraco.L

-0.004739451,-0.000497863,2.214211E-05,0,0,0,0,0,0,2.752303,antebraco.L

0.0001056044,1.109344E-05,-4.933746E-07,0,0,0,0,0,0,2.790627,antebraco.L

0.001556944,0.0001635517,-7.273847E-06,0,0,0,0,0,0,2.958722,antebraco.L

34260.83,-258.8436,7071.188,977.691,-1724.147,1335.119,0,0,0,3.010494,antebraco.L

-36423.55,282.7745,-7435.164,4.320421,3.388028,3.821585,0,0,0,3.059176,antebraco.L

-0.2533212,-9.163155,-23.12692,3.271583,2.595952,2.611967,0,0,0,3.101933,antebraco.L

1.825752,-5.30117,-1.553265,3.227137,2.394579,2.139035,0,0,0,3.155659,antebraco.L

0.2063721,-4.086777,-3.176281,3.064912,2.692202,1.85424,0,0,0,3.221274,antebraco.L

4.02577,-0.9766015,11.72992,3.402111,2.606509,2.22522,0,0,0,3.258231,antebraco.L

3.557677,-2.388641,11.8941,3.807033,2.961666,2.593504,0,0,0,3.294167,antebraco.L

5.071942,-2.040967,18.14133,4.684412,3.809796,3.555852,0,0,0,3.34623,antebraco.L

-7.235991,7.608098,-26.96391,3.261121,2.872961,2.98263,0,0,0,3.394733,antebraco.L

0.1343463,-0.4311924,0.6835871,1.146749,1.056254,1.158048,0,0,0,3.548476,antebraco.L

25.17588,-22.53379,106.1311,4.776408,3.781706,4.240376,0,0,0,3.590544,antebraco.L

-25.19555,12.71456,-100.1115,1.206642,1.145661,0.6593563,0,0,0,3.632003,antebraco.L

-8.258758,16.65023,-13.5849,0.3566031,0.930985,1.429661,0,0,0,3.674279,antebraco.L

-4.273425,2.843738,-0.3660479,0.2573421,0.5855439,1.234404,0,0,0,3.725294,antebraco.L

5.328165,-12.40329,-17.03466,0.3309316,-0.2714469,-0.3614779,0,0,0,3.759106,antebraco.L

-0.3255708,-12.65287,7.452424,1.106125,-1.598398,-2.394147,0,0,0,3.811692,antebraco.L

1.717894,5.517838,-15.86516,0.523089,-1.216824,-1.870178,0,0,0,3.845087,antebraco.L

-1.432723,-4.145435,-2.49542,0.4300641,-1.686586,-2.539038,0,0,0,3.891863,antebraco.L

-11.72454,-15.74459,-15.29125,-0.2942702,-4.306935,-5.81112,0,0,0,3.939724,antebraco.L

0.4147961,1.286081,0.08554339,-0.283323,-0.913533,-1.376887,0,0,0,4.090567,antebraco.L

-27.84586,-22.83571,-70.56339,-4.154448,-7.408342,-8.5147,0,0,0,4.142744,antebraco.L

3.961862,28.99416,-16.0986,-5.066272,-5.540441,-5.556061,0,0,0,4.190028,antebraco.L

12.92825,11.93859,30.23879,-3.448109,-2.645885,-2.553086,0,0,0,4.236959,antebraco.L

0.9582482,8.045356,-7.94085,-3.722876,-2.178428,-1.981638,0,0,0,4.285004,antebraco.L

3.949521,2.853458,7.712407,-3.165163,-1.340657,-1.07864,0,0,0,4.34393,antebraco.L

3.667674,1.442896,5.09637,-2.900176,-0.7900144,-0.5439041,0,0,0,4.386278,antebraco.L

-5.001547,36.71137,-94.21149,-7.392355,-1.323327,-0.1240923,0,0,0,4.435771,antebraco.L

7.701767,-8.571369,22.09716,-6.473915,-0.530419,0.6731884,0,0,0,4.483767,antebraco.L

-0.6859987,17.99051,-8.506293,-7.090088,-0.1059779,2.404886,0,0,0,4.528883,antebraco.L

0.4477009,-3.333904,7.491953,-2.55334,0.212868,1.333367,0,0,0,4.677395,antebraco.L

-22.34631,333.7157,-525.6332,-22.33222,4.225412,14.67251,0,0,0,4.716475,antebraco.L

16.08684,-220.9854,388.5336,-8.218216,0.6170186,6.058194,0,0,0,4.753785,antebraco.L

2.186878,-21.41969,36.54525,-6.488792,0.6361172,5.096003,0,0,0,4.796712,antebraco.L

-2.237549,74.25592,-95.35849,-10.76943,0.9786819,8.488088,0,0,0,4.846653,antebraco.L

2.490436,-53.05716,57.08656,-8.620725,0.7247207,5.983356,0,0,0,4.89436,antebraco.L

0.8013026,-10.43741,7.048771,-8.484773,0.6127383,5.446261,0,0,0,4.942327,antebraco.L

1.108248,-21.51369,36.553,-6.410069,0.2447226,4.231491,0,0,0,5.000491,antebraco.L

-0.4377979,18.25692,-19.29157,-7.429751,-0.1083755,5.051291,0,0,0,5.054827,antebraco.L

0.6594865,-10.24819,24.65479,-6.267159,-0.5979857,4.609463,0,0,0,5.105019,antebraco.L

0.3020174,-8.043503,9.731773,-1.495104,0.001203763,1.274976,0,0,0,5.330572,antebraco.L

-4.926418,163.884,-175.6814,-7.825075,-0.3688852,7.344792,0,0,0,5.364011,antebraco.L

4.814542,-181.8164,201.2839,-0.1143149,0.3611872,0.4567943,0,0,0,5.400906,antebraco.L

0.6646032,-15.42574,16.05951,0.6773348,0.5427433,-0.316208,0,0,0,5.445735,antebraco.L

