LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-0.001418768,0.0038315,0.0009733857,0,0,0,0,0,0,0.02,antebraco.R

0.0001498219,-0.0004046064,-0.0001027895,0,0,0,0,0,0,0.3533334,antebraco.R

-3.229103E-05,8.720459E-05,2.215418E-05,0,0,0,0,0,0,0.5332239,antebraco.R

-8.390465E-05,0.0002265914,5.756515E-05,0,0,0,0,0,0,0.6388838,antebraco.R

-0.000603943,0.001630998,0.0004143521,0,0,0,0,0,0,0.6849332,antebraco.R

0.0002497438,-0.0006744538,-0.0001713438,0,0,0,0,0,0,0.7581164,antebraco.R

-0.0002925117,0.0007899519,0.0002006859,0,0,0,0,0,0,0.8079141,antebraco.R

-0.0005352926,0.001445602,0.0003672526,0,0,0,0,0,0,0.8431404,antebraco.R

0.0003836301,-0.001036025,-0.0002632003,0,0,0,0,0,0,0.8934115,antebraco.R

-4.028902E-05,0.0001088037,2.764139E-05,0,0,0,0,0,0,0.9416097,antebraco.R

0.0002920718,-0.0007887639,-0.0002003841,0,0,0,0,0,0,1.123375,antebraco.R

-0.0006247624,0.001687222,0.0004286359,0,0,0,0,0,0,1.172223,antebraco.R

8.086429E-05,-0.0002183806,-5.547924E-05,0,0,0,0,0,0,1.226127,antebraco.R

-4.425876E-05,0.0001195243,3.036493E-05,0,0,0,0,0,0,1.277281,antebraco.R

4.344988E-05,-0.0001173398,-2.980996E-05,0,0,0,0,0,0,1.331291,antebraco.R

-0.0002502179,0.000675734,0.000171669,0,0,0,0,0,0,1.374293,antebraco.R

0.000233325,-0.0006301134,-0.0001600792,0,0,0,0,0,0,1.432027,antebraco.R

-0.0001984429,0.0005359116,0.0001361474,0,0,0,0,0,0,1.478746,antebraco.R

3.221262E-06,-8.699334E-06,-2.209999E-06,0,0,0,0,0,0,1.52561,antebraco.R

-0.0003364935,0.0009087283,0.0002308608,0,0,0,0,0,0,1.562843,antebraco.R

0.0002102809,-0.0005678808,-0.0001442691,0,0,0,0,0,0,1.747429,antebraco.R

-0.001341738,0.003623474,0.0009205373,0,0,0,0,0,0,1.782742,antebraco.R

0.0004488334,-0.001212111,-0.0003079348,0,0,0,0,0,0,1.845951,antebraco.R

-9.150345E-05,0.0002471126,6.277851E-05,0,0,0,0,0,0,1.901343,antebraco.R

-0.0007078273,0.001911546,0.0004856247,0,0,0,0,0,0,1.935996,antebraco.R

9.126595E-05,-0.0002464708,-6.261546E-05,0,0,0,0,0,0,1.972505,antebraco.R

0.0003162406,-0.0008540337,-0.0002169658,0,0,0,0,0,0,2.020952,antebraco.R

