LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-0.003509168,0.003057145,0.001710184,0,0,0,0,0,0,0.02,braco.L

0.0003705682,-0.0003228345,-0.0001805955,0,0,0,0,0,0,0.3533334,braco.L

-7.986838E-05,6.958036E-05,3.892364E-05,0,0,0,0,0,0,0.5332239,braco.L

-0.000207529,0.0001807968,0.0001011387,0,0,0,0,0,0,0.6388838,braco.L

-0.001493787,0.00130137,0.0007279935,0,0,0,0,0,0,0.6849332,braco.L

0.0006177142,-0.0005381451,-0.0003010414,0,0,0,0,0,0,0.7581164,braco.L

-0.0007234958,0.0006303008,0.0003525938,0,0,0,0,0,0,0.8079141,braco.L

-0.001323988,0.001153443,0.0006452425,0,0,0,0,0,0,0.8431404,braco.L

0.0009488675,-0.000826642,-0.0004624282,0,0,0,0,0,0,0.8934115,braco.L

-9.965063E-05,8.681445E-05,4.856443E-05,0,0,0,0,0,0,0.9416097,braco.L

0.0007224078,-0.000629353,-0.0003520636,0,0,0,0,0,0,1.123375,braco.L

-0.001545282,0.001346231,0.0007530893,0,0,0,0,0,0,1.172223,braco.L

0.0002000091,-0.0001742455,-9.747388E-05,0,0,0,0,0,0,1.226127,braco.L

-0.0001094691,9.536818E-05,5.33495E-05,0,0,0,0,0,0,1.277281,braco.L

0.0001074684,-9.362524E-05,-5.237451E-05,0,0,0,0,0,0,1.331291,braco.L

-0.0006188868,0.0005391668,0.0003016129,0,0,0,0,0,0,1.374293,braco.L

0.0005771042,-0.0005027661,-0.0002812502,0,0,0,0,0,0,1.432027,braco.L

-0.0004908271,0.0004276025,0.0002392034,0,0,0,0,0,0,1.478746,braco.L

7.967299E-06,-6.941054E-06,-3.882888E-06,0,0,0,0,0,0,1.52561,braco.L

-0.0008322797,0.0007250722,0.0004056094,0,0,0,0,0,0,1.562843,braco.L

0.0005201069,-0.0004531109,-0.0002534728,0,0,0,0,0,0,1.747429,braco.L

-0.003318644,0.002891162,0.001617333,0,0,0,0,0,0,1.782742,braco.L

0.001110141,-0.0009671411,-0.0005410241,0,0,0,0,0,0,1.845951,braco.L

-0.0002263239,0.0001971707,0.0001102983,0,0,0,0,0,0,1.901343,braco.L

-0.001750734,0.001525218,0.0008532156,0,0,0,0,0,0,1.935996,braco.L

0.0002257362,-0.0001966584,-0.0001100119,0,0,0,0,0,0,1.972505,braco.L

0.0007821868,-0.0006814318,-0.0003811968,0,0,0,0,0,0,2.020952,braco.L

-0.0008205777,0.0007148776,0.0003999064,0,0,0,0,0,0,2.059096,braco.L

7.559908E-05,-6.586137E-05,-3.684301E-05,0,0,0,0,0,0,2.098019,braco.L

0.0008863695,-0.0007721943,-0.0004319699,0,0,0,0,0,0,2.162452,braco.L

1880.786,2021.167,2178.077,0,0,0,0,0,0,2.38962,braco.L

-0.001222169,-0.001091413,-0.002506911,0,0,0,0,0,0,2.430177,braco.L

-0.0003137986,-0.000280226,-0.0006436624,0,0,0,0,0,0,2.465073,braco.L

0.0004125992,0.0003684563,0.0008463222,0,0,0,0,0,0,2.511121,braco.L

6.93146E-05,6.189876E-05,0.0001421778,0,0,0,0,0,0,2.559948,braco.L

-9.889331E-05,-8.831298E-05,-0.0002028498,0,0,0,0,0,0,2.605169,braco.L

5.910822E-05,5.278444E-05,0.0001212428,0,0,0,0,0,0,2.652584,braco.L

0.0002168668,0.0001936648,0.0004448365,0,0,0,0,0,0,2.714311,braco.L

-0.0007292806,-0.0006512569,-0.001495898,0,0,0,0,0,0,2.752303,braco.L

1.624991E-05,1.45114E-05,3.333175E-05,0,0,0,0,0,0,2.790627,braco.L

0.000239574,0.0002139426,0.0004914135,0,0,0,0,0,0,2.958722,braco.L

21904.29,11234.95,763.7088,634.0413,746.2575,687.7816,0,0,0,3.010494,braco.L

-23274.49,-11965.15,-865.4791,-2.390587,6.31827,3.942729,0,0,0,3.059176,braco.L

-2.411218,-3.128196,9.981761,-2.011391,4.956277,2.685305,0,0,0,3.101933,braco.L

1.388369,-4.577387,0.4557813,-1.957587,4.718004,2.184903,0,0,0,3.155659,braco.L

-0.06089457,-0.9820273,1.470383,-1.871042,4.448688,1.963422,0,0,0,3.221274,braco.L

5.499197,-7.669571,-10.87168,-2.251025,5.283221,2.326789,0,0,0,3.258231,braco.L

4.896135,-5.431158,-10.77136,-2.630764,6.095669,2.751246,0,0,0,3.294167,braco.L

7.232398,-6.530982,-16.75365,-3.506577,7.951392,3.867401,0,0,0,3.34623,braco.L

-9.543679,15.99462,17.92178,-2.755732,6.06467,3.334971,0,0,0,3.394733,braco.L

0.213434,-0.3796039,-0.7593594,-1.148526,2.315528,1.356741,0,0,0,3.548476,braco.L

37.48505,-40.19778,-105.1519,-6.369315,10.26497,5.687084,0,0,0,3.590544,braco.L

-37.07954,38.31631,93.27665,-2.170926,2.555719,1.336011,0,0,0,3.632003,braco.L

-8.086105,14.73921,6.93629,-2.011171,2.328027,2.033143,0,0,0,3.674279,braco.L

-4.626303,3.973049,4.399253,-1.962836,1.825734,1.858486,0,0,0,3.725294,braco.L

0.7923489,-11.02719,31.29451,-0.2936726,-0.08664638,-0.2297032,0,0,0,3.759106,braco.L

-2.361809,-8.813529,12.83207,0.4090956,-1.931334,-2.333067,0,0,0,3.811692,braco.L

2.038977,3.111321,-1.859494,0.4899337,-1.599224,-1.910387,0,0,0,3.845087,braco.L

-2.163046,-2.21081,4.907372,0.6560445,-2.302374,-2.583402,0,0,0,3.891863,braco.L

-15.29644,-9.275512,28.62386,1.615736,-6.071595,-6.038916,0,0,0,3.939724,braco.L

0.6136065,1.316996,-1.359114,0.440689,-1.617336,-1.443915,0,0,0,4.090567,braco.L

-36.96318,5.170151,71.60839,3.187493,-12.04153,-8.605356,0,0,0,4.142744,braco.L

5.274257,24.79543,-6.779397,3.267296,-9.920686,-5.721449,0,0,0,4.190028,braco.L

16.74054,-1.478093,-30.24091,2.387554,-5.642962,-2.823432,0,0,0,4.236959,braco.L

0.5010866,6.906091,4.761568,2.861418,-5.470903,-2.41865,0,0,0,4.285004,braco.L

4.77058,-0.9371078,-6.806282,2.688605,-4.164889,-1.579571,0,0,0,4.34393,braco.L

4.379452,-1.745509,-6.886033,2.540036,-3.326481,-1.077539,0,0,0,4.386278,braco.L

-11.74846,39.9248,50.36029,6.007416,-6.458348,-1.58869,0,0,0,4.435771,braco.L

10.29766,-8.600052,-24.86946,4.743395,-4.484531,-0.2980468,0,0,0,4.483767,braco.L

0.4696791,16.01156,-4.081729,4.696596,-3.497831,1.58319,0,0,0,4.528883,braco.L

0.8169912,-3.952955,-3.244651,1.719789,-0.9378401,1.035697,0,0,0,4.677395,braco.L

-56.53107,350.1781,256.7244,17.56333,-7.249282,11.39987,0,0,0,4.716475,braco.L

39.33046,-238.0762,-169.8606,7.518912,-3.058236,4.66199,0,0,0,4.753785,braco.L

3.289815,-18.21449,-10.27898,6.790197,-2.867823,3.948944,0,0,0,4.796712,braco.L

-11.5463,82.28569,66.30997,11.84075,-5.111094,6.688145,0,0,0,4.846653,braco.L

8.270968,-54.86224,-49.79162,8.141675,-3.410836,4.914591,0,0,0,4.89436,braco.L

1.695951,-9.395624,-10.99272,7.313454,-3.017536,4.635414,0,0,0,4.942327,braco.L

3.591478,-22.78008,-18.81092,5.628642,-2.315456,3.728445,0,0,0,5.000491,braco.L

-2.746855,21.95282,12.53399,6.648679,-2.758237,4.620931,0,0,0,5.054827,braco.L

2.52094,-14.76363,-12.56922,5.712732,-2.205246,4.227634,0,0,0,5.105019,braco.L

1.229663,-8.600702,-5.68867,1.428575,-0.4360135,1.239872,0,0,0,5.330572,braco.L

-15.95141,184.4215,97.95339,6.340907,-1.233867,7.747716,0,0,0,5.364011,braco.L

20.46964,-207.6245,-121.9789,-0.3592938,0.6021661,0.5637036,0,0,0,5.400906,braco.L

1.6452,-18.11281,-8.837967,-0.9456883,0.7365707,-0.3100813,0,0,0,5.445735,braco.L

7.729512,-66.26444,-39.28225,-3.704719,1.780511,-3.025485,0,0,0,5.493162,braco.L

0.1908909,2.202621,5.338541,-3.486173,1.2513,-3.2099,0,0,0,5.539134,braco.L

-4.151784,35.65542,22.18559,-2.3842,0.7543583,-2.207634,0,0,0,5.5734,braco.L

8.786602,-61.57789,-35.96724,-4.513102,1.291425,-4.136505,0,0,0,5.610524,braco.L

0.5144122,1.860736,1.099058,-4.510595,1.156802,-4.032277,0,0,0,5.657139,braco.L

15.63584,-95.41811,-60.46111,-9.519968,3.180696,-7.797221,0,0,0,5.711205,braco.L

-4.101923,27.0251,16.87288,-2.440768,1.025721,-1.710861,0,0,0,5.856082,braco.L

54.33175,-316.5011,-241.9286,-20.63698,9.245865,-12.54032,0,0,0,5.904622,braco.L

-23.52129,137.6654,101.5169,-12.74078,4.889537,-7.811618,0,0,0,5.955739,braco.L

-50.78008,108.3524,169.7339,-3.870752,0.7783704,-6.695648,0,0,0,5.991535,braco.L

-124.7036,-433.9731,334.2719,10.35244,-10.76253,-33.27991,0,0,0,6.026418,braco.L

-194.6885,-1085.818,848.3621,57.8279,-55.09427,-136.3789,0,0,0,6.076679,braco.L

150.0202,737.3411,-596.4941,25.41776,-22.21373,-76.4365,0,0,0,6.121529,braco.L

341.1047,-1676.182,1099.83,99.70302,-50.79224,-240.0931,0,0,0,6.173047,braco.L

635.6782,1663.033,-1155.774,86.89839,-89.50253,-209.6824,0,0,0,6.220881,braco.L

-12.09699,992.7156,-818.3959,39.78796,-163.7617,-239.2138,0,0,0,6.269935,braco.L

-100.5812,-73.76775,85.01859,-3.266917,-17.0312,-18.30171,0,0,0,6.448589,braco.L

301.2479,1271.139,-1162.412,-19.60307,44.53064,57.23407,0,0,0,6.483117,braco.L

-148.8166,-621.7084,342.7966,-17.50526,43.00453,37.22512,0,0,0,6.545536,braco.L

-23.97128,-182.1679,-82.87956,-29.4566,41.05484,19.63431,0,0,0,6.589385,braco.L

-23.52701,-75.78099,188.8366,-23.22396,22.64738,5.881473,0,0,0,6.64097,braco.L

-3.487945,-40.2859,-14.58618,-27.93139,23.33525,3.714184,0,0,0,6.691898,braco.L

-9.287182,10.308,128.06,-14.26524,11.75591,0.9305573,0,0,0,6.75717,braco.L

-13.1074,10.80981,122.8945,-6.576252,5.581894,0.08698007,0,0,0,6.795392,braco.L

-8.819654,49.29124,283.599,13.83687,-16.34622,-4.478873,0,0,0,6.845385,braco.L

6.827414,64.80121,186.2162,30.30587,-31.63931,-7.499659,0,0,0,6.896118,braco.L

-0.4168617,-25.35147,-89.37141,3.837939,-1.346256,1.892155,0,0,0,7.06629,braco.L

-187.4676,-1744.518,939.8099,-64.92506,-50.98073,-81.53766,0,0,0,7.106298,braco.L

49.71449,-297.7636,162.1535,-84.7095,-78.08703,-104.8892,0,0,0,7.172568,braco.L

