LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
9.952254E-06,0.006821395,0.001165298,0,0,0,0,0,0,0.02,braco.R

-1.050958E-06,-0.0007203393,-0.0001230555,0,0,0,0,0,0,0.3533334,braco.R

2.265124E-07,0.0001552544,2.652208E-05,0,0,0,0,0,0,0.5332239,braco.R

5.885673E-07,0.0004034111,6.891467E-05,0,0,0,0,0,0,0.6388838,braco.R

4.236488E-06,0.00290374,0.0004960456,0,0,0,0,0,0,0.6849332,braco.R

-1.751882E-06,-0.001200761,-0.0002051258,0,0,0,0,0,0,0.7581164,braco.R

2.051886E-06,0.001406387,0.000240253,0,0,0,0,0,0,0.8079141,braco.R

3.754926E-06,0.002573672,0.00043966,0,0,0,0,0,0,0.8431404,braco.R

-2.691056E-06,-0.001844482,-0.0003150927,0,0,0,0,0,0,0.8934115,braco.R

2.826161E-07,0.0001937085,3.309115E-05,0,0,0,0,0,0,0.9416097,braco.R

-2.048801E-06,-0.001404273,-0.0002398917,0,0,0,0,0,0,1.123375,braco.R

4.382531E-06,0.00300384,0.0005131456,0,0,0,0,0,0,1.172223,braco.R

-5.672399E-07,-0.000388793,-6.641749E-05,0,0,0,0,0,0,1.226127,braco.R

3.104619E-07,0.0002127944,3.63517E-05,0,0,0,0,0,0,1.277281,braco.R

-3.047884E-07,-0.0002089053,-3.568729E-05,0,0,0,0,0,0,1.331291,braco.R

1.755208E-06,0.00120304,0.0002055152,0,0,0,0,0,0,1.374293,braco.R

-1.636709E-06,-0.00112182,-0.0001916404,0,0,0,0,0,0,1.432027,braco.R

1.39202E-06,0.0009541077,0.0001629901,0,0,0,0,0,0,1.478746,braco.R

-2.259589E-08,-1.548746E-05,-2.645726E-06,0,0,0,0,0,0,1.52561,braco.R

2.360406E-06,0.001617851,0.0002763772,0,0,0,0,0,0,1.562843,braco.R

-1.475061E-06,-0.001011024,-0.0001727132,0,0,0,0,0,0,1.747429,braco.R

9.411911E-06,0.006451039,0.00110203,0,0,0,0,0,0,1.782742,braco.R

-3.148438E-06,-0.002157978,-0.0003686471,0,0,0,0,0,0,1.845951,braco.R

6.418708E-07,0.0004399459,7.515593E-05,0,0,0,0,0,0,1.901343,braco.R

4.965207E-06,0.003403213,0.0005813704,0,0,0,0,0,0,1.935996,braco.R

