LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-4.570173E-10,0.003384616,0.0008611923,0,0,0,0,0,0,0.02,canela.L

4.826102E-11,-0.0003574154,-9.09419E-05,0,0,0,0,0,0,0.3533334,canela.L

-1.040167E-11,7.703356E-05,1.960066E-05,0,0,0,0,0,0,0.5332239,canela.L

-2.702759E-11,0.0002001631,5.093013E-05,0,0,0,0,0,0,0.6388838,canela.L

-1.945437E-10,0.001440768,0.0003665934,0,0,0,0,0,0,0.6849332,canela.L

8.044813E-11,-0.0005957893,-0.0001515945,0,0,0,0,0,0,0.7581164,canela.L

-9.422462E-11,0.0006978164,0.0001775546,0,0,0,0,0,0,0.8079141,canela.L

-1.724299E-10,0.001276996,0.0003249228,0,0,0,0,0,0,0.8431404,canela.L

1.23576E-10,-0.0009151889,-0.0002328635,0,0,0,0,0,0,0.8934115,canela.L

-1.297803E-11,9.611351E-05,2.445544E-05,0,0,0,0,0,0,0.9416097,canela.L

9.408293E-11,-0.0006967671,-0.0001772876,0,0,0,0,0,0,1.123375,canela.L

-2.012501E-10,0.001490435,0.0003792309,0,0,0,0,0,0,1.172223,canela.L

2.604822E-11,-0.00019291,-4.908465E-05,0,0,0,0,0,0,1.226127,canela.L

-1.425672E-11,0.0001055836,2.686503E-05,0,0,0,0,0,0,1.277281,canela.L

1.399617E-11,-0.0001036539,-2.637404E-05,0,0,0,0,0,0,1.331291,canela.L

-8.060087E-11,0.0005969202,0.0001518823,0,0,0,0,0,0,1.374293,canela.L

7.515927E-11,-0.0005566205,-0.0001416283,0,0,0,0,0,0,1.432027,canela.L

-6.392296E-11,0.0004734058,0.0001204549,0,0,0,0,0,0,1.478746,canela.L

1.037634E-12,-7.684577E-06,-1.955301E-06,0,0,0,0,0,0,1.52561,canela.L

-1.083922E-10,0.0008027395,0.0002042515,0,0,0,0,0,0,1.562843,canela.L

6.773623E-11,-0.0005016465,-0.0001276405,0,0,0,0,0,0,1.747429,canela.L

-4.322042E-10,0.003200853,0.0008144351,0,0,0,0,0,0,1.782742,canela.L

1.445794E-10,-0.001070738,-0.0002724418,0,0,0,0,0,0,1.845951,canela.L

-2.947533E-11,0.0002182908,5.554259E-05,0,0,0,0,0,0,1.901343,canela.L

-2.280072E-10,0.001688594,0.0004296511,0,0,0,0,0,0,1.935996,canela.L

2.939881E-11,-0.0002177239,-5.539833E-05,0,0,0,0,0,0,1.972505,canela.L

1.018683E-10,-0.0007544244,-0.0001919581,0,0,0,0,0,0,2.020952,canela.L

-1.068681E-10,0.0007914527,0.0002013797,0,0,0,0,0,0,2.059096,canela.L

9.845719E-12,-7.291622E-05,-1.855301E-05,0,0,0,0,0,0,2.098019,canela.L

1.154365E-10,-0.000854909,-0.0002175257,0,0,0,0,0,0,2.162452,canela.L

8.070362,701.2837,-6710.558,0,0,0,0,0,0,2.38962,canela.L

8.471693E-10,-0.01195526,0.001462609,0,0,0,0,0,0,2.430177,canela.L

2.175152E-10,-0.003069577,0.0003755326,0,0,0,0,0,0,2.465073,canela.L

-2.860008E-10,0.004036045,-0.0004937706,0,0,0,0,0,0,2.511121,canela.L

-4.804665E-11,0.0006780346,-8.295095E-05,0,0,0,0,0,0,2.559948,canela.L

6.854967E-11,-0.0009673735,0.0001183488,0,0,0,0,0,0,2.605169,canela.L

-4.097196E-11,0.0005781961,-7.073663E-05,0,0,0,0,0,0,2.652584,canela.L

-1.503252E-10,0.00212139,-0.0002595313,0,0,0,0,0,0,2.714311,canela.L

5.055142E-10,-0.007133822,0.0008727532,0,0,0,0,0,0,2.752303,canela.L

-1.126384E-11,0.0001589575,-1.944688E-05,0,0,0,0,0,0,2.790627,canela.L

-1.660651E-10,0.002343513,-0.0002867058,0,0,0,0,0,0,2.958722,canela.L

-6229.88,17998.9,-12026.53,-785.7205,293.2357,254.1317,0,0,0,3.010494,canela.L

6692.152,-19169.62,12776.39,-1.267717,-1.409214,-3.558768,0,0,0,3.059176,canela.L

-12.54076,7.265656,1.985335,-1.15797,-1.088468,-2.823594,0,0,0,3.101933,canela.L

