LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-1.272218E-11,0.003384614,0.0008611904,0,0,0,0,0,0,0.02,canela.R

1.343462E-12,-0.0003574153,-9.09417E-05,0,0,0,0,0,0,0.3533334,canela.R

-2.895557E-13,7.703353E-05,1.960062E-05,0,0,0,0,0,0,0.5332239,canela.R

-7.523781E-13,0.000200163,5.093002E-05,0,0,0,0,0,0,0.6388838,canela.R

-5.415593E-12,0.001440767,0.0003665927,0,0,0,0,0,0,0.6849332,canela.R

2.239468E-12,-0.0005957891,-0.0001515942,0,0,0,0,0,0,0.7581164,canela.R

-2.62297E-12,0.0006978162,0.0001775542,0,0,0,0,0,0,0.8079141,canela.R

-4.800003E-12,0.001276995,0.0003249221,0,0,0,0,0,0,0.8431404,canela.R

3.440036E-12,-0.0009151886,-0.000232863,0,0,0,0,0,0,0.8934115,canela.R

-3.612742E-13,9.611351E-05,2.445536E-05,0,0,0,0,0,0,0.9416097,canela.R

2.619025E-12,-0.0006967667,-0.0001772872,0,0,0,0,0,0,1.123375,canela.R

-5.602283E-12,0.001490434,0.0003792301,0,0,0,0,0,0,1.172223,canela.R

7.251146E-13,-0.00019291,-4.908455E-05,0,0,0,0,0,0,1.226127,canela.R

-3.968701E-13,0.0001055836,2.686499E-05,0,0,0,0,0,0,1.277281,canela.R

3.896173E-13,-0.0001036539,-2.6374E-05,0,0,0,0,0,0,1.331291,canela.R

-2.24372E-12,0.0005969202,0.000151882,0,0,0,0,0,0,1.374293,canela.R

2.09224E-12,-0.0005566205,-0.000141628,0,0,0,0,0,0,1.432027,canela.R

-1.77945E-12,0.0004734058,0.0001204546,0,0,0,0,0,0,1.478746,canela.R

2.888466E-14,-7.684577E-06,-1.955262E-06,0,0,0,0,0,0,1.52561,canela.R

-3.017357E-12,0.0008027392,0.000204251,0,0,0,0,0,0,1.562843,canela.R

1.885601E-12,-0.0005016464,-0.0001276402,0,0,0,0,0,0,1.747429,canela.R

-1.203145E-11,0.003200852,0.0008144334,0,0,0,0,0,0,1.782742,canela.R

4.024715E-12,-0.001070737,-0.0002724413,0,0,0,0,0,0,1.845951,canela.R

-8.20517E-13,0.0002182908,5.554246E-05,0,0,0,0,0,0,1.901343,canela.R

-6.34713E-12,0.001688593,0.0004296503,0,0,0,0,0,0,1.935996,canela.R

8.183857E-13,-0.0002177239,-5.539823E-05,0,0,0,0,0,0,1.972505,canela.R

2.835749E-12,-0.0007544239,-0.0001919577,0,0,0,0,0,0,2.020952,canela.R

-2.974933E-12,0.0007914524,0.0002013792,0,0,0,0,0,0,2.059096,canela.R

2.740798E-13,-7.291622E-05,-1.855292E-05,0,0,0,0,0,0,2.098019,canela.R

3.213453E-12,-0.0008549086,-0.0002175253,0,0,0,0,0,0,2.162452,canela.R

8.069817,701.2833,-6710.559,0,0,0,0,0,0,2.38962,canela.R

0.0006236353,-0.009977601,-0.001251716,0,0,0,0,0,0,2.430177,canela.R

0.0001601217,-0.002561802,-0.0003213848,0,0,0,0,0,0,2.465073,canela.R

-0.0002105366,0.003368395,0.000422574,0,0,0,0,0,0,2.511121,canela.R

-3.536906E-05,0.0005658728,7.099026E-05,0,0,0,0,0,0,2.559948,canela.R

