LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-0.0006951861,0.003371317,0.00143647,0,0,0,0,0,0,0.02,clavicula.L

7.341165E-05,-0.0003560111,-0.0001516912,0,0,0,0,0,0,0.3533334,clavicula.L

-1.582238E-05,7.67309E-05,3.269394E-05,0,0,0,0,0,0,0.5332239,clavicula.L

-4.111267E-05,0.0001993766,8.495153E-05,0,0,0,0,0,0,0.6388838,clavicula.L

-0.0002959277,0.001435107,0.0006114785,0,0,0,0,0,0,0.6849332,clavicula.L

0.0001223727,-0.0005934485,-0.0002528599,0,0,0,0,0,0,0.7581164,clavicula.L

-0.0001433286,0.0006950746,0.0002961614,0,0,0,0,0,0,0.8079141,clavicula.L

-0.0002622896,0.001271978,0.0005419716,0,0,0,0,0,0,0.8431404,clavicula.L

0.000187976,-0.0009115931,-0.0003884168,0,0,0,0,0,0,0.8934115,clavicula.L

-1.974134E-05,9.573581E-05,4.079179E-05,0,0,0,0,0,0,0.9416097,clavicula.L

0.0001431131,-0.0006940294,-0.000295716,0,0,0,0,0,0,1.123375,clavicula.L

-0.0003061291,0.001484579,0.0006325578,0,0,0,0,0,0,1.172223,clavicula.L

3.962291E-05,-0.0001921521,-8.187327E-05,0,0,0,0,0,0,1.226127,clavicula.L

-2.168645E-05,0.0001051687,4.481092E-05,0,0,0,0,0,0,1.277281,clavicula.L

2.129011E-05,-0.0001032467,-4.399197E-05,0,0,0,0,0,0,1.331291,clavicula.L

-0.000122605,0.0005945749,0.0002533399,0,0,0,0,0,0,1.374293,clavicula.L

0.0001143276,-0.0005544336,-0.0002362363,0,0,0,0,0,0,1.432027,clavicula.L

-9.723562E-05,0.0004715459,0.000200919,0,0,0,0,0,0,1.478746,clavicula.L

1.578377E-06,-7.654457E-06,-3.261396E-06,0,0,0,0,0,0,1.52561,clavicula.L

-0.0001648793,0.0007995854,0.0003406918,0,0,0,0,0,0,1.562843,clavicula.L

0.0001030361,-0.0004996755,-0.0002129046,0,0,0,0,0,0,1.747429,clavicula.L

-0.0006574421,0.003188277,0.001358479,0,0,0,0,0,0,1.782742,clavicula.L

0.0002199251,-0.001066531,-0.0004544336,0,0,0,0,0,0,1.845951,clavicula.L

-4.483603E-05,0.0002174331,9.264518E-05,0,0,0,0,0,0,1.901343,clavicula.L

-0.0003468302,0.00168196,0.0007166588,0,0,0,0,0,0,1.935996,clavicula.L

4.471957E-05,-0.0002168685,-9.240449E-05,0,0,0,0,0,0,1.972505,clavicula.L

0.0001549556,-0.0007514601,-0.0003201864,0,0,0,0,0,0,2.020952,clavicula.L

-0.0001625611,0.0007883429,0.0003359017,0,0,0,0,0,0,2.059096,clavicula.L

1.497665E-05,-7.262947E-05,-3.094639E-05,0,0,0,0,0,0,2.098019,clavicula.L

0.0001755948,-0.00085155,-0.0003628334,0,0,0,0,0,0,2.162452,clavicula.L

-781.1812,5038.303,385.9324,0,0,0,0,0,0,2.38962,clavicula.L

-0.0007353173,0.0004866385,1.825673E-05,0,0,0,0,0,0,2.430177,clavicula.L

-0.0001887966,0.000124947,4.687516E-06,0,0,0,0,0,0,2.465073,clavicula.L

