LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
0.0001344354,0.003686704,0.0007023022,0,0,0,0,0,0,0.02,clavicula.R

-1.419638E-05,-0.0003893159,-7.416311E-05,0,0,0,0,0,0,0.3533334,clavicula.R

3.059738E-06,8.390906E-05,1.598433E-05,0,0,0,0,0,0,0.5332239,clavicula.R

7.950386E-06,0.0002180283,4.153351E-05,0,0,0,0,0,0,0.6388838,clavicula.R

5.722663E-05,0.001569361,0.0002989569,0,0,0,0,0,0,0.6849332,clavicula.R

-2.366448E-05,-0.0006489656,-0.0001236253,0,0,0,0,0,0,0.7581164,clavicula.R

2.771694E-05,0.0007600988,0.0001447958,0,0,0,0,0,0,0.8079141,clavicula.R

5.072167E-05,0.001390972,0.0002649745,0,0,0,0,0,0,0.8431404,clavicula.R

-3.635088E-05,-0.0009968728,-0.0001899002,0,0,0,0,0,0,0.8934115,clavicula.R

3.817588E-06,0.0001046922,1.994343E-05,0,0,0,0,0,0,0.9416097,clavicula.R

-2.767527E-05,-0.0007589558,-0.000144578,0,0,0,0,0,0,1.123375,clavicula.R

5.919938E-05,0.001623461,0.0003092627,0,0,0,0,0,0,1.172223,clavicula.R

-7.662298E-06,-0.0002101278,-4.002849E-05,0,0,0,0,0,0,1.226127,clavicula.R

4.193741E-06,0.0001150073,2.190841E-05,0,0,0,0,0,0,1.277281,clavicula.R

-4.117095E-06,-0.0001129055,-2.150801E-05,0,0,0,0,0,0,1.331291,clavicula.R

2.37094E-05,0.0006501975,0.00012386,0,0,0,0,0,0,1.374293,clavicula.R

-2.210871E-05,-0.000606301,-0.0001154979,0,0,0,0,0,0,1.432027,clavicula.R

1.880347E-05,0.0005156591,9.823091E-05,0,0,0,0,0,0,1.478746,clavicula.R

-3.052344E-07,-8.370501E-06,-1.594523E-06,0,0,0,0,0,0,1.52561,clavicula.R

3.188444E-05,0.0008743866,0.0001665671,0,0,0,0,0,0,1.562843,clavicula.R

-1.992517E-05,-0.0005464202,-0.0001040908,0,0,0,0,0,0,1.747429,clavicula.R

0.0001271364,0.00348654,0.0006641718,0,0,0,0,0,0,1.782742,clavicula.R

-4.252922E-05,-0.001166305,-0.0002221763,0,0,0,0,0,0,1.845951,clavicula.R

8.670415E-06,0.000237774,4.529498E-05,0,0,0,0,0,0,1.901343,clavicula.R

6.707018E-05,0.001839307,0.0003503805,0,0,0,0,0,0,1.935996,clavicula.R

-8.647887E-06,-0.0002371564,-4.517729E-05,0,0,0,0,0,0,1.972505,clavicula.R

-2.996539E-05,-0.0008217594,-0.0001565418,0,0,0,0,0,0,2.020952,clavicula.R

3.143615E-05,0.0008620924,0.0001642251,0,0,0,0,0,0,2.059096,clavicula.R

-2.8962E-06,-7.942411E-05,-1.512999E-05,0,0,0,0,0,0,2.098019,clavicula.R

-3.395659E-05,-0.0009312125,-0.0001773922,0,0,0,0,0,0,2.162452,clavicula.R

644.9487,4427.314,-410.3533,0,0,0,0,0,0,2.38962,clavicula.R

-0.0007133658,0.001516482,0.0002924168,0,0,0,0,0,0,2.430177,clavicula.R

-0.0001831605,0.0003893651,7.507958E-05,0,0,0,0,0,0,2.465073,clavicula.R

0.0002408292,-0.000511958,-9.871866E-05,0,0,0,0,0,0,2.511121,clavicula.R

4.045808E-05,-8.600619E-05,-1.658423E-05,0,0,0,0,0,0,2.559948,clavicula.R

-5.772282E-05,0.0001227078,2.366125E-05,0,0,0,0,0,0,2.605169,clavicula.R

3.450078E-05,-7.334207E-05,-1.414227E-05,0,0,0,0,0,0,2.652584,clavicula.R

0.0001265825,-0.0002690909,-5.188763E-05,0,0,0,0,0,0,2.714311,clavicula.R

-0.0004256723,0.0009048998,0.0001744879,0,0,0,0,0,0,2.752303,clavicula.R

9.484886E-06,-2.016301E-05,-3.887952E-06,0,0,0,0,0,0,2.790627,clavicula.R

0.0001398365,-0.0002972662,-5.732058E-05,0,0,0,0,0,0,2.958722,clavicula.R

1182.786,18969.29,-366.4099,109.6686,13640.29,-71.25075,0,0,0,3.010494,clavicula.R

-1212.175,-20182.31,389.8319,-0.05579185,-0.01940587,-0.00121457,0,0,0,3.059176,clavicula.R

-7.661832,1.112488,-0.1258854,-0.06637871,-0.009412224,-0.01019324,0,0,0,3.101933,clavicula.R

1.199486,-0.5021977,-0.127781,-0.08236342,0.004279869,-0.008014458,0,0,0,3.155659,clavicula.R

-0.1819706,0.1350427,-0.2572328,-0.08557852,0.04358979,0.005581208,0,0,0,3.221274,clavicula.R

11.28856,-2.315938,-0.4663336,-0.1056975,0.0786953,0.004051392,0,0,0,3.258231,clavicula.R

9.891954,-2.115366,-0.3586323,-0.1248347,0.09488076,0.005227983,0,0,0,3.294167,clavicula.R

14.76563,-3.112657,-0.5252501,-0.1641275,0.1226108,0.008691798,0,0,0,3.34623,clavicula.R

-18.97408,3.960771,0.2473909,-0.122061,0.08339959,0.00832681,0,0,0,3.394733,clavicula.R

0.4555565,-0.0991085,0.01272597,-0.04491203,0.02345867,0.003335535,0,0,0,3.548476,clavicula.R

78.26965,-16.47337,-0.9147298,-0.1857126,-0.007441424,-0.007333742,0,0,0,3.590544,clavicula.R

-77.50214,16.01451,1.857282,-0.03827689,-0.0898423,-0.03089295,0,0,0,3.632003,clavicula.R

-9.238479,3.381641,0.3056983,0.01515924,-0.09598422,-0.002030256,0,0,0,3.674279,clavicula.R

-6.407172,2.00045,0.4976144,0.06281196,-0.131658,0.007776719,0,0,0,3.725294,clavicula.R

-10.87025,0.2936767,-1.062803,0.02617443,-0.03701184,0.0003243598,0,0,0,3.759106,clavicula.R

-7.51906,1.350781,0.3745171,0.06267552,-0.05696744,-0.01070888,0,0,0,3.811692,clavicula.R

2.997087,-1.060713,-0.6811606,0.03289832,-0.02592001,-0.0150784,0,0,0,3.845087,clavicula.R

-4.059256,1.044008,0.01849616,0.05219323,-0.02006177,-0.01209007,0,0,0,3.891863,clavicula.R

-24.50557,7.081502,0.2852355,0.204682,0.007853728,0.02215794,0,0,0,3.939724,clavicula.R

1.05314,-0.2923982,-0.04444805,0.05870893,0.001383917,0.002925301,0,0,0,4.090567,clavicula.R

-64.01455,16.09227,0.3858123,0.275479,-0.06798815,0.01499672,0,0,0,4.142744,clavicula.R

4.737488,-2.944354,0.1216178,0.03227079,-0.1304071,0.00678695,0,0,0,4.190028,clavicula.R

28.00042,-7.367147,-0.4164668,-0.04616851,-0.08488981,0.001493567,0,0,0,4.236959,clavicula.R

-2.135533,-0.2736782,0.2591095,-0.04573378,-0.07984151,-0.001260458,0,0,0,4.285004,clavicula.R

7.374381,-1.991812,-0.03309462,-0.03884192,-0.05144911,-0.00513037,0,0,0,4.34393,clavicula.R

7.134848,-1.844891,-0.2120707,-0.03675271,-0.02983167,-0.008354937,0,0,0,4.386278,clavicula.R

-36.78246,4.640744,-0.2738798,-0.09989044,-0.01017222,-0.03325827,0,0,0,4.435771,clavicula.R

21.02528,-4.163515,-0.9713393,-0.09219582,0.07274888,-0.01871734,0,0,0,4.483767,clavicula.R

2.915307,-0.1043423,-0.8682699,-0.0818483,0.1354215,0.02204746,0,0,0,4.528883,clavicula.R

2.39678,-0.3193223,0.07866438,-0.02542091,0.03507373,0.005735933,0,0,0,4.677395,clavicula.R

-185.3959,22.27032,-5.500517,-0.215534,0.183215,0.02982139,0,0,0,4.716475,clavicula.R

126.5193,-15.81353,5.724854,-0.08015702,0.01979643,0.003514538,0,0,0,4.753785,clavicula.R

9.186969,-1.214548,0.5342744,-0.06469309,0.001999443,0.0005331848,0,0,0,4.796712,clavicula.R

-45.07265,4.832061,0.2962225,-0.08188505,0.001212318,-0.0007161122,0,0,0,4.846653,clavicula.R

29.1278,-3.342697,-0.05410167,-0.04030057,-0.0005478609,-0.001749157,0,0,0,4.89436,clavicula.R

5.045863,-0.5795852,-0.1805763,-0.02481212,-0.001356292,-0.002296315,0,0,0,4.942327,clavicula.R

12.49243,-1.339255,-0.1405336,-0.009969104,-0.001631201,-0.00232831,0,0,0,5.000491,clavicula.R

-11.52317,1.274546,-0.305815,0.001123289,-0.003136763,-0.003659466,0,0,0,5.054827,clavicula.R

8.64793,-0.8897994,0.04651368,0.0145922,-0.00338264,-0.003895053,0,0,0,5.105019,clavicula.R

4.687605,-0.5145695,0.08305875,0.01366675,-0.001518373,-0.001494801,0,0,0,5.330572,clavicula.R

-77.05326,8.526333,6.940602,0.2007771,-0.01555114,-0.01358953,0,0,0,5.364011,clavicula.R

94.86638,-10.29064,-6.332239,0.05293768,-0.00306466,-0.002313439,0,0,0,5.400906,clavicula.R

7.204041,-0.7898437,-0.5404082,0.05105619,-0.002414532,-0.001659326,0,0,0,5.445735,clavicula.R

31.55261,-3.354371,-1.012726,0.1055308,-0.003841089,-0.001870115,0,0,0,5.493162,clavicula.R

-1.79348,0.03066114,1.145346,0.06704578,-0.001551614,-8.297745E-05,0,0,0,5.539134,clavicula.R

-17.22247,1.782216,0.7658772,0.03918745,-0.0006136085,0.0004174799,0,0,0,5.5734,clavicula.R

31.42189,-3.557521,1.005306,0.06658524,-0.0006554645,0.0009761725,0,0,0,5.610524,clavicula.R

0.04078902,-0.1213403,0.7392356,0.0569563,-0.0004558396,0.0009410883,0,0,0,5.657139,clavicula.R

51.76167,-5.661913,1.149848,0.1010372,-0.0008957393,0.00170218,0,0,0,5.711205,clavicula.R

-14.3978,1.581063,-0.3976039,0.02057478,-0.0002413786,0.0003471993,0,0,0,5.856082,clavicula.R

167.9401,-18.06245,1.656476,0.142718,-0.001145376,0.002396971,0,0,0,5.904622,clavicula.R

-72.00882,7.481653,-2.001834,0.09014898,0.002672275,0.005037298,0,0,0,5.955739,clavicula.R

-85.4194,-20.60997,-0.9075481,0.7562044,0.2987429,0.3217412,0,0,0,5.991535,clavicula.R

7.826836,-186.7079,0.2196624,5.483625,2.000713,2.198633,0,0,0,6.026418,clavicula.R

-74.25132,-410.4741,30.06543,27.10875,8.457193,14.21325,0,0,0,6.076679,clavicula.R

-11.20548,344.3972,13.41975,22.42331,6.462369,15.65423,0,0,0,6.121529,clavicula.R

-56.65142,-38.95272,267.3297,111.564,30.93269,84.3149,0,0,0,6.173047,clavicula.R

431.7807,1577.446,-446.7223,98.40169,22.85438,80.47977,0,0,0,6.220881,clavicula.R

451.1577,942.8954,-641.9507,77.98714,12.22087,65.19425,0,0,0,6.269935,clavicula.R

-181.7487,-450.4405,194.2299,7.952749,0.6630481,10.92563,0,0,0,6.448589,clavicula.R

322.7733,1126.385,15.44672,46.17085,-2.308914,129.951,0,0,0,6.483117,clavicula.R

-235.1547,-702.763,97.11864,8.145457,-1.753343,26.32606,0,0,0,6.545536,clavicula.R

18.3764,-45.12,-65.63272,1.711967,-1.559853,8.248168,0,0,0,6.589385,clavicula.R

-19.7933,-69.80447,0.8772012,-0.6547459,-0.6652375,-0.6133714,0,0,0,6.64097,clavicula.R

-10.44853,-19.59686,8.741432,-0.6434243,-0.584372,-0.6113654,0,0,0,6.691898,clavicula.R

-11.8067,-16.87005,7.011888,-0.3139845,-0.2269484,-0.03640993,0,0,0,6.75717,clavicula.R

-14.9959,-21.8321,6.640432,-0.3451756,-0.1329902,-0.02001091,0,0,0,6.795392,clavicula.R

-12.92342,-22.01258,6.607588,-0.3934632,0.07603726,0.01789336,0,0,0,6.845385,clavicula.R

4.452702,6.343729,-3.355015,-0.246778,0.3234074,0.06590521,0,0,0,6.896118,clavicula.R

-0.7809009,-2.481939,2.590055,-0.08092329,0.1821144,-0.1828726,0,0,0,7.06629,clavicula.R

-561.1194,-1090.924,415.0314,-25.48798,5.35431,-29.01553,0,0,0,7.106298,clavicula.R

-29.18133,-162.7126,-40.33822,-39.25153,1.155568,-39.56901,0,0,0,7.172568,clavicula.R

-70.78416,-303.0343,18.69167,-45.77943,-1.4434,-46.77688,0,0,0,7.208444,clavicula.R

-77.03181,-493.7133,-25.96667,-68.47132,-5.248554,-71.45844,0,0,0,7.260657,clavicula.R

258.2162,585.7009,-144.6068,-50.97708,-7.704638,-54.89096,0,0,0,7.321812,clavicula.R

156.533,484.8436,-58.30382,-30.40982,-6.863829,-33.23559,0,0,0,7.378659,clavicula.R

-13.13192,-291.6034,-69.7466,-59.61905,-17.70473,-64.38583,0,0,0,7.427836,clavicula.R

192.6169,965.9753,-55.21906,57.55312,-21.37298,-58.5576,0,0,0,7.46558,clavicula.R

182.3245,1405.076,123.4601,-43.30635,-18.95022,-40.26377,0,0,0,7.516525,clavicula.R

-51.5709,-435.6747,-31.43809,-1.712228,-0.8452617,-1.040485,0,0,0,7.679157,clavicula.R

-62.42998,-480.7757,10.71507,22.08599,7.424771,12.00545,0,0,0,7.73735,clavicula.R

-136.258,-519.1569,221.3188,87.05772,25.47573,61.38133,0,0,0,7.789785,clavicula.R

263.5597,1366.943,-88.19583,65.29485,17.30605,51.60448,0,0,0,7.837195,clavicula.R

126.3729,379.4021,-227.1313,43.41613,9.952066,35.57522,0,0,0,7.873992,clavicula.R

407.0182,1053.099,-443.8202,80.93877,14.42278,66.80639,0,0,0,7.937129,clavicula.R

370.4823,567.1337,-524.0486,79.29381,9.544503,72.62289,0,0,0,7.98174,clavicula.R

-672.7598,-1666.919,747.2599,27.88598,2.230006,40.73011,0,0,0,8.028188,clavicula.R

-399.2585,-917.5432,399.5858,7.788832,0.003739047,20.11655,0,0,0,8.064151,clavicula.R

-23.92084,81.4568,97.69324,15.72353,-1.470023,52.25082,0,0,0,8.108409,clavicula.R

1.942056,-2.165354,-1.766065,3.60297,-0.6583793,11.56431,0,0,0,8.266285,clavicula.R

125.4809,283.7998,-54.71555,6.263669,-3.690316,25.1842,0,0,0,8.302673,clavicula.R

-73.31715,-216.1946,9.128314,-0.759444,-0.6932665,-1.043175,0,0,0,8.359531,clavicula.R

-17.13712,-24.43162,9.464756,-0.558395,-0.4248692,-0.06876057,0,0,0,8.407269,clavicula.R

-15.12692,-20.11193,9.819171,-0.2017569,-0.07759443,-0.01161355,0,0,0,8.440774,clavicula.R

-13.86362,-22.47847,6.017666,-0.4183563,-0.03196134,-0.0009927596,0,0,0,8.492648,clavicula.R

1.478666,0.2146313,-0.8033732,-0.2501668,0.2509774,0.05036512,0,0,0,8.543242,clavicula.R

13.89027,24.26465,-6.002621,-0.0729874,0.1328031,0.0271728,0,0,0,8.591536,clavicula.R

-18.15976,-30.80592,4.411078,-0.3018089,0.7854258,-0.1110054,0,0,0,8.63707,clavicula.R

-48.68016,-93.85236,44.58615,-2.265152,1.078056,-2.93963,0,0,0,8.685243,clavicula.R

62.9682,116.2702,-52.69548,-3.906861,0.361719,-4.02282,0,0,0,8.853193,clavicula.R

-904.5557,-2288.301,462.8172,-89.87885,-0.2411848,-91.30883,0,0,0,8.907535,clavicula.R

298.4175,135.0609,-278.0997,-98.26391,-10.37008,-103.8799,0,0,0,8.958154,clavicula.R

490.2166,1415.194,-211.3615,-54.947,-11.62786,-60.0081,0,0,0,9.007508,clavicula.R

116.7485,299.2762,-79.77283,-52.50512,-15.18332,-56.94378,0,0,0,9.054764,clavicula.R

109.2664,571.8634,4.70209,-19.55086,-6.541826,-20.54857,0,0,0,9.102692,clavicula.R

115.8276,555.8616,-78.10594,58.61672,-22.6435,-58.8413,0,0,0,9.137012,clavicula.R

138.8259,1171.653,125.81,-39.9538,-17.75932,-36.70019,0,0,0,9.188647,clavicula.R

-154.635,-1051.647,-21.76785,-11.28208,-5.195139,-10.32173,0,0,0,9.225735,clavicula.R

29.48654,313.774,29.01095,-13.77067,-6.478384,-10.64016,0,0,0,9.27726,clavicula.R

-8.667107,-69.29697,-0.286893,7.473382,2.61284,3.949432,0,0,0,9.466959,clavicula.R

-478.4995,-1779.701,871.3868,192.0369,54.95213,140.164,0,0,0,9.503055,clavicula.R

597.9221,2457.495,-679.515,58.67343,14.17073,47.64149,0,0,0,9.547413,clavicula.R

750.1032,1920.718,-818.6165,109.9553,19.31984,90.92276,0,0,0,9.597883,clavicula.R

-247.2076,-914.0646,126.4398,50.07806,5.973119,46.12577,0,0,0,9.658013,clavicula.R

-372.9804,-930.2686,420.1705,24.09595,2.1161,31.24117,0,0,0,9.699601,clavicula.R

-111.1576,-243.7458,143.0679,15.03195,0.0404999,37.70946,0,0,0,9.774071,clavicula.R

-145.5508,-272.9168,142.8241,10.49218,-1.38308,34.15335,0,0,0,9.819983,clavicula.R

37.35742,79.81671,5.250856,12.3307,-2.591583,39.80852,0,0,0,9.869012,clavicula.R

-11.0486,-148.8018,-73.56901,1.33425,-1.238183,6.489807,0,0,0,9.916915,clavicula.R

-3.462099,-6.508651,3.081223,-0.2167644,-0.213323,-0.2632599,0,0,0,10.08184,clavicula.R

3.942619,0.6736026,-7.255117,-1.314921,-1.003602,-0.678108,0,0,0,10.12914,clavicula.R

-31.29309,-45.5797,19.58399,-0.4169766,0.05711383,0.01513576,0,0,0,10.18559,clavicula.R

3.966907,5.554571,-3.18671,-0.2534013,0.3508705,0.07148365,0,0,0,10.23672,clavicula.R

10.87366,20.06062,-7.444192,-0.1713124,0.5057411,0.0934504,0,0,0,10.28419,clavicula.R

-31.04027,-60.54862,27.09289,-0.8192799,0.6903929,-1.26003,0,0,0,10.33211,clavicula.R

-61.45601,-115.3608,50.74503,-5.258827,1.561893,-6.330928,0,0,0,10.3932,clavicula.R

-266.6988,-563.603,164.2788,-27.76051,2.933956,-28.94166,0,0,0,10.4452,clavicula.R

-148.2029,-412.0288,48.6916,-41.89528,0.4288883,-42.5091,0,0,0,10.49304,clavicula.R

347.6151,730.6431,-205.4396,-24.37366,-0.818148,-24.93516,0,0,0,10.52688,clavicula.R

225.9886,622.7158,-108.4047,-8.89789,-1.059845,-9.512894,0,0,0,10.71167,clavicula.R

-778.0325,-4574.164,-118.8638,-197.9762,-44.91443,-214.2648,0,0,0,10.74928,clavicula.R

966.7917,5213.399,-12.12482,50.25365,-18.54948,-51.50964,0,0,0,10.78269,clavicula.R

81.63481,596.3208,66.21234,-28.56717,-11.58053,-27.818,0,0,0,10.82756,clavicula.R

137.6356,1214.033,91.12634,-40.39303,-18.18222,-36.92988,0,0,0,10.87945,clavicula.R

-195.0632,-1479.558,-59.59903,-8.486704,-4.085492,-7.034693,0,0,0,10.91592,clavicula.R

-14.00419,-95.26592,-3.221,-5.260317,-2.518187,-4.186076,0,0,0,10.96286,clavicula.R

-69.0209,-590.4316,-24.27725,12.8115,4.565275,6.368727,0,0,0,11.03072,clavicula.R

-91.6703,-476.626,88.39597,49.69882,14.76783,33.98759,0,0,0,11.08447,clavicula.R

68.2969,561.3891,91.53292,60.1969,17.17545,44.68266,0,0,0,11.13245,clavicula.R

-36.07904,-192.762,-58.2413,11.59643,2.631021,9.664295,0,0,0,11.29327,clavicula.R

1085.888,2645.069,-1110.317,124.0243,18.35775,106.8012,0,0,0,11.35402,clavicula.R

-850.1143,-2151.139,934.1217,41.09307,2.380738,72.48735,0,0,0,11.40402,clavicula.R

-503.1823,-1061.548,481.829,12.43066,-1.44995,40.80434,0,0,0,11.4528,clavicula.R

11.22758,-26.6303,-12.8889,9.175682,-1.596841,29.38826,0,0,0,11.50094,clavicula.R

