LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-1.613633E-10,0.003497198,0.0008539332,0,0,0,0,0,0,0.02,femur.L

1.703997E-11,-0.0003693042,-9.017534E-05,0,0,0,0,0,0,0.3533334,femur.L

-3.672616E-12,7.959593E-05,1.943544E-05,0,0,0,0,0,0,0.5332239,femur.L

-9.54288E-12,0.0002068211,5.050082E-05,0,0,0,0,0,0,0.6388838,femur.L

-6.868936E-11,0.001488692,0.0003635033,0,0,0,0,0,0,0.6849332,femur.L

2.840458E-11,-0.0006156071,-0.0001503167,0,0,0,0,0,0,0.7581164,femur.L

-3.326876E-11,0.0007210278,0.0001760579,0,0,0,0,0,0,0.8079141,femur.L

-6.088142E-11,0.001319472,0.0003221839,0,0,0,0,0,0,0.8431404,femur.L

4.36321E-11,-0.0009456309,-0.0002309007,0,0,0,0,0,0,0.8934115,femur.L

-4.582261E-12,9.931067E-05,2.424931E-05,0,0,0,0,0,0,0.9416097,femur.L

3.321874E-11,-0.0007199436,-0.0001757932,0,0,0,0,0,0,1.123375,femur.L

-7.105726E-11,0.001540011,0.0003760342,0,0,0,0,0,0,1.172223,femur.L

9.197084E-12,-0.0001993268,-4.867087E-05,0,0,0,0,0,0,1.226127,femur.L

-5.033755E-12,0.0001090957,2.663859E-05,0,0,0,0,0,0,1.277281,femur.L

4.94176E-12,-0.0001071018,-2.615176E-05,0,0,0,0,0,0,1.331291,femur.L

-2.845849E-11,0.0006167757,0.0001506021,0,0,0,0,0,0,1.374293,femur.L

2.653718E-11,-0.0005751355,-0.0001404345,0,0,0,0,0,0,1.432027,femur.L

-2.256988E-11,0.0004891529,0.0001194395,0,0,0,0,0,0,1.478746,femur.L

3.663663E-13,-7.94013E-06,-1.938805E-06,0,0,0,0,0,0,1.52561,femur.L

-3.827103E-11,0.0008294408,0.0002025299,0,0,0,0,0,0,1.562843,femur.L

2.391626E-11,-0.0005183328,-0.0001265646,0,0,0,0,0,0,1.747429,femur.L

-1.526024E-10,0.003307323,0.0008075702,0,0,0,0,0,0,1.782742,femur.L

5.104798E-11,-0.001106354,-0.0002701454,0,0,0,0,0,0,1.845951,femur.L

-1.040713E-11,0.0002255518,5.507441E-05,0,0,0,0,0,0,1.901343,femur.L

-8.050461E-11,0.001744762,0.0004260296,0,0,0,0,0,0,1.935996,femur.L

1.03801E-11,-0.0002249661,-5.49314E-05,0,0,0,0,0,0,1.972505,femur.L

3.596758E-11,-0.0007795189,-0.0001903401,0,0,0,0,0,0,2.020952,femur.L

-3.773292E-11,0.000817779,0.0001996823,0,0,0,0,0,0,2.059096,femur.L

3.476317E-12,-7.534149E-05,-1.839664E-05,0,0,0,0,0,0,2.098019,femur.L

4.075823E-11,-0.0008833461,-0.0002156922,0,0,0,0,0,0,2.162452,femur.L

8.06993,4013.783,3472.468,0,0,0,0,0,0,2.38962,femur.L

9.587382E-11,-0.0018743,-0.0006133572,0,0,0,0,0,0,2.430177,femur.L

2.461611E-11,-0.0004812364,-0.0001574827,0,0,0,0,0,0,2.465073,femur.L

-3.236659E-11,0.0006327556,0.0002070668,0,0,0,0,0,0,2.511121,femur.L

-5.437423E-12,0.0001062997,3.478612E-05,0,0,0,0,0,0,2.559948,femur.L

7.75775E-12,-0.0001516612,-4.963052E-05,0,0,0,0,0,0,2.605169,femur.L

-4.636782E-12,9.064748E-05,2.966406E-05,0,0,0,0,0,0,2.652584,femur.L

-1.701225E-11,0.0003325835,0.0001088366,0,0,0,0,0,0,2.714311,femur.L

5.720885E-11,-0.001118413,-0.0003659962,0,0,0,0,0,0,2.752303,femur.L

-1.274731E-12,2.49206E-05,8.15514E-06,0,0,0,0,0,0,2.790627,femur.L

-1.879352E-11,0.0003674069,0.0001202325,0,0,0,0,0,0,2.958722,femur.L

-2198.138,17941.99,7707.129,411.9189,109.4829,218.3663,0,0,0,3.010494,femur.L

2421.56,-19112,-8183.205,0.7528765,-1.260018,-4.230777,0,0,0,3.059176,femur.L

-16.38017,6.949423,-5.42974,0.3411723,-0.9735545,-3.384601,0,0,0,3.101933,femur.L

0.7287521,0.5067458,-1.208212,0.2124408,-0.9298546,-3.313282,0,0,0,3.155659,femur.L

-1.593035,1.556061,-1.2179,0.1176705,-0.8264838,-3.090594,0,0,0,3.221274,femur.L

17.78997,-4.845419,0.1100666,0.07762156,-0.9413679,-3.639956,0,0,0,3.258231,femur.L

16.35912,-4.958666,0.4060768,0.04161156,-1.070012,-4.166251,0,0,0,3.294167,femur.L

24.75997,-7.545208,0.8312178,-0.01289573,-1.369292,-5.340006,0,0,0,3.34623,femur.L

-31.58648,9.808064,-2.091666,-0.05159279,-1.025564,-3.963837,0,0,0,3.394733,femur.L

0.8494244,-0.297835,0.07894803,-0.02956234,-0.4007972,-1.507395,0,0,0,3.548476,femur.L

129.8246,-39.14506,8.461452,-0.09793436,-1.899201,-6.424494,0,0,0,3.590544,femur.L

-129.3351,39.26213,-6.637171,0.001472188,-0.5829865,-1.57745,0,0,0,3.632003,femur.L

-15.43501,5.748392,-0.6140382,0.06280258,-0.4259025,-0.9983444,0,0,0,3.674279,femur.L

