LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
0,0,0,0,0,0,0,0,0,0.02,femur.R

0,0,0,0,0,0,0,0,0,0.3533334,femur.R

0,0,0,0,0,0,0,0,0,0.5332239,femur.R

0,0,0,0,0,0,0,0,0,0.6388838,femur.R

0,0,0,0,0,0,0,0,0,0.6849332,femur.R

0,0,0,0,0,0,0,0,0,0.7581164,femur.R

0,0,0,0,0,0,0,0,0,0.8079141,femur.R

0,0,0,0,0,0,0,0,0,0.8431404,femur.R

0,0,0,0,0,0,0,0,0,0.8934115,femur.R

0,0,0,0,0,0,0,0,0,0.9416097,femur.R

0,0,0,0,0,0,0,0,0,1.123375,femur.R

0,0,0,0,0,0,0,0,0,1.172223,femur.R

0,0,0,0,0,0,0,0,0,1.226127,femur.R

0,0,0,0,0,0,0,0,0,1.277281,femur.R

0,0,0,0,0,0,0,0,0,1.331291,femur.R

0,0,0,0,0,0,0,0,0,1.374293,femur.R

0,0,0,0,0,0,0,0,0,1.432027,femur.R

0,0,0,0,0,0,0,0,0,1.478746,femur.R

0,0,0,0,0,0,0,0,0,1.52561,femur.R

0,0,0,0,0,0,0,0,0,1.562843,femur.R

0,0,0,0,0,0,0,0,0,1.747429,femur.R

0,0,0,0,0,0,0,0,0,1.782742,femur.R

0,0,0,0,0,0,0,0,0,1.845951,femur.R

0,0,0,0,0,0,0,0,0,1.901343,femur.R

0,0,0,0,0,0,0,0,0,1.935996,femur.R

0,0,0,0,0,0,0,0,0,1.972505,femur.R

0,0,0,0,0,0,0,0,0,2.020952,femur.R

0,0,0,0,0,0,0,0,0,2.059096,femur.R

0,0,0,0,0,0,0,0,0,2.098019,femur.R

0,0,0,0,0,0,0,0,0,2.162452,femur.R

8.069583,4013.783,3472.466,0,0,0,0,0,0,2.38962,femur.R

8.895782E-10,-0.005000986,-0.002155306,0,0,0,0,0,0,2.430177,femur.R

2.28404E-10,-0.00128403,-0.0005533863,0,0,0,0,0,0,2.465073,femur.R

-3.003178E-10,0.001688312,0.000727622,0,0,0,0,0,0,2.511121,femur.R

-5.045188E-11,0.0002836275,0.0001222369,0,0,0,0,0,0,2.559948,femur.R

7.198125E-11,-0.0004046605,-0.0001743993,0,0,0,0,0,0,2.605169,femur.R

-4.302301E-11,0.0002418644,0.000104238,0,0,0,0,0,0,2.652584,femur.R

-1.578504E-10,0.0008873954,0.0003824463,0,0,0,0,0,0,2.714311,femur.R

5.308201E-10,-0.002984138,-0.001286092,0,0,0,0,0,0,2.752303,femur.R

-1.182775E-11,6.64934E-05,2.865676E-05,0,0,0,0,0,0,2.790627,femur.R

-1.743783E-10,0.000980311,0.0004224907,0,0,0,0,0,0,2.958722,femur.R

477.7722,22125.15,5136.863,517.8544,90.61221,153.6711,0,0,0,3.010494,femur.R

-433.2309,-23560.43,-5480.188,-3.109926,-1.661384,-3.282727,0,0,0,3.059176,femur.R

-10.85903,4.811386,8.169776,-2.115554,-1.349444,-2.984065,0,0,0,3.101933,femur.R

1.771701,-0.5003334,1.344778,-1.951729,-1.315729,-3.053162,0,0,0,3.155659,femur.R

-0.7160115,0.7424805,0.8016128,-1.765522,-1.201362,-2.954501,0,0,0,3.221274,femur.R

18.0968,-6.731319,-1.623285,-2.060275,-1.387602,-3.535033,0,0,0,3.258231,femur.R

16.68349,-6.411654,-1.99329,-2.371859,-1.586786,-4.092422,0,0,0,3.294167,femur.R

24.67146,-9.386111,-3.781292,-3.133077,-2.026947,-5.263593,0,0,0,3.34623,femur.R

-31.13655,12.12545,3.185179,-2.355651,-1.496152,-3.900673,0,0,0,3.394733,femur.R

0.6221372,-0.1204096,0.2797834,-0.682208,-0.5346139,-1.418771,0,0,0,3.548476,femur.R

129.2984,-46.51218,-0.5322286,-2.110304,-2.401132,-6.345036,0,0,0,3.590544,femur.R

-126.0367,45.62417,6.347567,-0.2119951,-0.686655,-1.769835,0,0,0,3.632003,femur.R

-16.15817,7.543449,0.8975894,0.07868369,-0.4321456,-1.072516,0,0,0,3.674279,femur.R

-12.65573,5.939638,2.027462,0.5156562,-0.1387144,-0.3452601,0,0,0,3.725294,femur.R

-16.1071,2.923337,-3.981715,0.3339496,0.05500719,0.06628222,0,0,0,3.759106,femur.R

-12.42248,4.683171,2.7893,0.859467,0.3101858,0.63867,0,0,0,3.811692,femur.R

5.235254,-3.018684,-4.556159,0.4441274,0.2095697,0.4760119,0,0,0,3.845087,femur.R

-6.82263,2.725677,0.2735771,0.5715159,0.3262128,0.7771185,0,0,0,3.891863,femur.R

-40.69253,16.96974,1.404537,1.342229,1.034449,2.597451,0,0,0,3.939724,femur.R

1.724039,-0.7165846,-0.2412857,0.253233,0.2783665,0.7506737,0,0,0,4.090567,femur.R

-106.967,42.48463,-0.6717154,1.762247,2.110069,5.956183,0,0,0,4.142744,femur.R

10.12927,-3.952904,10.75955,2.64685,1.985611,5.344769,0,0,0,4.190028,femur.R

45.88338,-18.54878,-1.065297,1.939728,1.307288,3.398059,0,0,0,4.236959,femur.R

-3.453669,1.046517,2.108289,2.207925,1.408209,3.541996,0,0,0,4.285004,femur.R

12.17289,-5.072194,-0.8648467,1.913612,1.193426,2.885396,0,0,0,4.34393,femur.R

11.74431,-4.947856,-1.343022,1.667564,1.042048,2.430566,0,0,0,4.386278,femur.R

-60.18966,21.88131,9.451209,3.591739,2.306392,5.087312,0,0,0,4.435771,femur.R

34.5796,-13.81329,-6.122296,2.552234,1.768153,3.597663,0,0,0,4.483767,femur.R

5.355626,-1.977597,-2.950098,2.264695,1.736486,3.390955,0,0,0,4.528883,femur.R

3.956052,-1.450493,-0.6644152,0.6516499,0.5837198,1.194142,0,0,0,4.677395,femur.R

-301.8577,106.2956,16.11641,5.769438,5.459535,11.86376,0,0,0,4.716475,femur.R

203.6208,-70.60943,-4.289153,2.880745,2.282648,5.114918,0,0,0,4.753785,femur.R

15.52223,-5.409899,-0.2746402,2.628957,1.989424,4.483618,0,0,0,4.796712,femur.R

-72.96484,26.84886,9.362122,4.723667,3.47872,7.778258,0,0,0,4.846653,femur.R

47.6958,-17.14258,-5.665017,3.498474,2.586053,5.70493,0,0,0,4.89436,femur.R

8.451083,-2.930033,-1.859369,3.224304,2.453597,5.329517,0,0,0,4.942327,femur.R

20.61496,-7.525755,-3.386958,2.46814,1.980335,4.219636,0,0,0,5.000491,femur.R

-17.45202,6.187525,-0.1237999,2.781826,2.347429,4.999848,0,0,0,5.054827,femur.R

15.18831,-6.053867,-4.038449,2.06662,1.913336,4.241732,0,0,0,5.105019,femur.R

7.320143,-2.66532,-0.7143418,0.1247642,0.3991154,1.051899,0,0,0,5.330572,femur.R

-132.6506,40.3468,-48.8726,-3.003443,1.291276,5.463619,0,0,0,5.364011,femur.R

157.4883,-50.69537,34.2836,-1.119963,-0.2559904,-0.02160933,0,0,0,5.400906,femur.R

11.91984,-4.028919,1.332849,-1.066053,-0.4247769,-0.5203052,0,0,0,5.445735,femur.R

50.76244,-18.32152,-3.171795,-1.936876,-1.403159,-2.668132,0,0,0,5.493162,femur.R

-0.1680242,1.001372,10.57062,-0.9140796,-1.243189,-2.857038,0,0,0,5.539134,femur.R

-26.75229,9.803193,4.29629,-0.3909838,-0.8445757,-2.090044,0,0,0,5.5734,femur.R

51.30951,-17.36493,5.896783,-0.4545881,-1.514776,-3.842549,0,0,0,5.610524,femur.R

-0.693889,0.9309563,3.165478,-0.1774156,-1.442412,-3.766972,0,0,0,5.657139,femur.R

83.01572,-28.61856,-3.253525,-1.895435,-3.151168,-7.757021,0,0,0,5.711205,femur.R

-23.33245,8.162478,0.09043478,-0.8210707,-0.7943835,-1.828712,0,0,0,5.856082,femur.R

274.1628,-94.79205,-25.37099,-7.388015,-6.233334,-13.85789,0,0,0,5.904622,femur.R

-116.8145,40.33129,6.680032,-4.771926,-3.739289,-8.480795,0,0,0,5.955739,femur.R

-148.7482,7.243173,-52.30273,-7.773474,-2.131261,-3.28804,0,0,0,5.991535,femur.R

-49.86019,-256.7391,-458.3803,-44.39654,-4.777025,0.8410689,0,0,0,6.026418,femur.R

-301.4632,-463.5981,-990.1978,-144.142,-8.042218,25.25596,0,0,0,6.076679,femur.R

50.70671,366.8002,787.9417,-64.67062,-0.7067247,18.54719,0,0,0,6.121529,femur.R

-489.9987,-353.4501,-1429.363,-185.6652,5.76942,63.64774,0,0,0,6.173047,femur.R

980.2007,1387.795,1357.13,-85.80024,7.4144,-2.020752,0,0,0,6.220881,femur.R

699.9955,1122.989,875.402,-27.43101,8.81884,-53.49493,0,0,0,6.269935,femur.R

-197.8436,-397.5506,-74.97627,-30.64226,-2.394125,0.02045647,0,0,0,6.448589,femur.R

-1196.75,1542.9,-8807.279,-781.7967,272.6345,321.9594,0,0,0,6.483117,femur.R

430.6074,-975.4149,3720.889,-177.2231,-266.4972,276.1591,0,0,0,6.545536,femur.R

137.5001,-88.2732,604.3477,-100.1396,-429.8088,431.7962,0,0,0,6.589385,femur.R

92.20064,2.456208,675.593,-25.20069,-258.1406,256.258,0,0,0,6.64097,femur.R

25.27467,1.437532,158.2547,-5.47038,-194.6536,191.4318,0,0,0,6.691898,femur.R

1.911332,20.60722,140.9076,1.32455,-54.10364,52.16193,0,0,0,6.75717,femur.R

-6.779853,14.46101,59.48298,0.792851,-4.355491,2.985966,0,0,0,6.795392,femur.R

-25.11786,22.28124,40.49555,-1.288627,51.53777,-49.97857,0,0,0,6.845385,femur.R

-8.012948,27.6804,120.5365,0.9883149,132.4089,-128.3083,0,0,0,6.896118,femur.R

5.39774,-12.74743,-44.12809,10.05283,82.77284,-82.84089,0,0,0,7.06629,femur.R

-230.3981,-440.2659,-213.3077,64.18912,252.9814,-254.4803,0,0,0,7.106298,femur.R

-98.55368,-115.7957,-492.1766,19.62572,5.910556,-4.800859,0,0,0,7.172568,femur.R

-19.74918,-47.2935,354.9052,54.99699,86.9521,-84.86893,0,0,0,7.208444,femur.R

-14.7578,-66.60599,1088.587,186.4468,237.1032,-229.7205,0,0,0,7.260657,femur.R

218.8177,375.8918,783.6078,234.5763,147.325,-140.0626,0,0,0,7.321812,femur.R

74.91866,16.19285,-585.189,130.7859,48.20571,-47.68719,0,0,0,7.378659,femur.R

107.5684,-62.92535,208.0932,151.4113,14604.93,-49.10393,0,0,0,7.427836,femur.R

277.3156,536.9636,-633.4616,60.4404,1.407299,-34.26507,0,0,0,7.46558,femur.R

418.0583,1429.432,1452.634,193.6212,26.87127,-67.7337,0,0,0,7.516525,femur.R

-199.5682,-600.2084,-756.7161,28.33826,2.702005,-4.411073,0,0,0,7.679157,femur.R

-273.2217,-600.0437,-1207.873,-119.5643,-5.965961,22.34548,0,0,0,7.73735,femur.R

