LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
3.175825E-11,0.001846764,-0.002964241,0,0,0,0,0,0,0.02,pe.R

-3.35367E-12,-0.0001950183,0.0003130239,0,0,0,0,0,0,0.3533334,pe.R

7.228149E-13,4.203219E-05,-6.746587E-05,0,0,0,0,0,0,0.5332239,pe.R

1.878153E-12,0.000109216,-0.0001753025,0,0,0,0,0,0,0.6388838,pe.R

1.351889E-11,0.000786133,-0.001261822,0,0,0,0,0,0,0.6849332,pe.R

-5.590361E-12,-0.0003250834,0.0005217913,0,0,0,0,0,0,0.7581164,pe.R

6.547693E-12,0.0003807529,-0.0006111464,0,0,0,0,0,0,0.8079141,pe.R

1.19822E-11,0.0006967731,-0.001118391,0,0,0,0,0,0,0.8431404,pe.R

-8.587325E-12,-0.0004993589,0.0008015211,0,0,0,0,0,0,0.8934115,pe.R

9.018451E-13,5.244294E-05,-8.417614E-05,0,0,0,0,0,0,0.9416097,pe.R

-6.537846E-12,-0.0003801803,0.0006102275,0,0,0,0,0,0,1.123375,pe.R

1.398492E-11,0.000813233,-0.00130532,0,0,0,0,0,0,1.172223,pe.R

-1.810098E-12,-0.0001052584,0.0001689503,0,0,0,0,0,0,1.226127,pe.R

9.907031E-13,5.761005E-05,-9.246997E-05,0,0,0,0,0,0,1.277281,pe.R

-9.725967E-13,-5.655719E-05,9.077993E-05,0,0,0,0,0,0,1.331291,pe.R

5.600972E-12,0.0003257004,-0.0005227818,0,0,0,0,0,0,1.374293,pe.R

-5.222835E-12,-0.0003037116,0.0004874874,0,0,0,0,0,0,1.432027,pe.R

4.442022E-12,0.0002583067,-0.0004146082,0,0,0,0,0,0,1.478746,pe.R

-7.210493E-14,-4.193013E-06,6.730215E-06,0,0,0,0,0,0,1.52561,pe.R

7.532196E-12,0.0004380025,-0.0007030378,0,0,0,0,0,0,1.562843,pe.R

-4.707008E-12,-0.0002737158,0.0004393412,0,0,0,0,0,0,1.747429,pe.R

3.003398E-11,0.001746497,-0.002803302,0,0,0,0,0,0,1.782742,pe.R

-1.004686E-11,-0.0005842318,0.0009377504,0,0,0,0,0,0,1.845951,pe.R

2.048248E-12,0.0001191071,-0.0001911787,0,0,0,0,0,0,1.901343,pe.R

1.584427E-11,0.0009213558,-0.001478868,0,0,0,0,0,0,1.935996,pe.R

-2.042927E-12,-0.0001187978,0.0001906821,0,0,0,0,0,0,1.972505,pe.R

-7.078852E-12,-0.0004116402,0.0006607237,0,0,0,0,0,0,2.020952,pe.R

7.426293E-12,0.000431844,-0.0006931529,0,0,0,0,0,0,2.059096,pe.R

-6.841793E-13,-3.978552E-05,6.385969E-05,0,0,0,0,0,0,2.098019,pe.R

-8.021712E-12,-0.0004664681,0.0007487281,0,0,0,0,0,0,2.162452,pe.R

8.069412,701.286,-6710.558,0,0,0,0,0,0,2.38962,pe.R

7.591671E-10,-0.0145435,-0.0002436335,0,0,0,0,0,0,2.430177,pe.R

1.949203E-10,-0.003734121,-6.25542E-05,0,0,0,0,0,0,2.465073,pe.R

-2.562916E-10,0.004909823,8.224962E-05,0,0,0,0,0,0,2.511121,pe.R

-4.305564E-11,0.0008248254,1.381752E-05,0,0,0,0,0,0,2.559948,pe.R

6.142888E-11,-0.001176804,-1.971389E-05,0,0,0,0,0,0,2.605169,pe.R

-3.671589E-11,0.0007033726,1.178292E-05,0,0,0,0,0,0,2.652584,pe.R

-1.347097E-10,0.002580658,4.323134E-05,0,0,0,0,0,0,2.714311,pe.R

4.530024E-10,-0.008678248,-0.0001453785,0,0,0,0,0,0,2.752303,pe.R

-1.009383E-11,0.0001933684,3.239335E-06,0,0,0,0,0,0,2.790627,pe.R

-1.488146E-10,0.002850868,4.775791E-05,0,0,0,0,0,0,2.958722,pe.R

7830.882,23760.73,-16344.26,968.0851,464.5114,0.2658639,0,0,0,3.010494,pe.R

-8336.155,-25269.68,17390.56,-0.08337434,0.2268895,0.1937547,0,0,0,3.059176,pe.R

7.721535,-1.009104,-21.48362,-0.6209622,0.001739765,-0.1096962,0,0,0,3.101933,pe.R

2.751286,-0.4885673,-2.7112,-0.7009411,-0.04501587,-0.1998871,0,0,0,3.155659,pe.R

2.124664,-0.08690456,1.086633,-0.6032355,-0.04002772,0.2534798,0,0,0,3.221274,pe.R

3.402591,-0.6833268,0.4547187,-0.5912451,-0.03499164,-0.3385622,0,0,0,3.258231,pe.R

2.2031,-0.6638352,0.12751,-0.5893556,-0.05201445,-0.4229093,0,0,0,3.294167,pe.R

2.371232,-0.6492574,0.2459199,-0.6189952,-0.07587234,-0.5562751,0,0,0,3.34623,pe.R

-3.741834,1.679303,6.530487,-0.2629974,-0.05701948,-0.3793958,0,0,0,3.394733,pe.R

-0.5192309,0.4205528,1.132379,0.2339405,0.02035964,0.01506543,0,0,0,3.548476,pe.R

-11.76374,13.83601,47.93867,3.478483,0.3342917,0.8966435,0,0,0,3.590544,pe.R

3.756724,-8.056801,-22.04847,1.908692,0.09711841,0.3658388,0,0,0,3.632003,pe.R

-2.199835,2.159864,-2.951355,1.78085,0.1344481,0.5110831,0,0,0,3.674279,pe.R

-5.531886,3.54087,16.358,2.749943,0.4317948,0.9415811,0,0,0,3.725294,pe.R

14.01763,-12.06124,-36.51108,0.9732589,0.155185,0.2608983,0,0,0,3.759106,pe.R

-1.14139,0.04197381,-3.038799,0.9132484,0.1752231,0.320133,0,0,0,3.811692,pe.R

7.27625,-5.179999,-20.37089,-0.08486997,-0.002855757,-0.00165857,0,0,0,3.845087,pe.R

0.017822,-0.1134872,-2.941701,-0.2493603,-0.01247744,-0.004837845,0,0,0,3.891863,pe.R

-1.016194,0.6582776,-7.251315,-0.719753,-0.01610037,0.02546787,0,0,0,3.939724,pe.R

0.03787148,-0.02743123,0.617457,-0.141385,-0.007524618,-0.01087255,0,0,0,4.090567,pe.R

-2.636026,-0.6961481,4.856007,-0.7114071,-0.09274022,-0.04512553,0,0,0,4.142744,pe.R

-1.317484,1.974342,9.766679,0.3302392,-0.1321892,0.0653838,0,0,0,4.190028,pe.R

1.188445,0.02616307,-5.289881,0.3393656,-0.06242502,0.1127206,0,0,0,4.236959,pe.R

0.3296296,-0.181822,-0.5536654,0.39219,-0.05819941,0.1237516,0,0,0,4.285004,pe.R

1.280142,-0.6311961,-2.778506,0.271285,-0.04599531,0.06397929,0,0,0,4.34393,pe.R

1.460216,-0.7712103,-2.897805,0.1594004,-0.0379688,0.007757451,0,0,0,4.386278,pe.R

4.306522,-3.156846,-5.345328,-0.05019602,-0.0884832,-0.1942302,0,0,0,4.435771,pe.R

3.493112,-1.508894,-8.124339,-0.5008512,-0.04470702,-0.359795,0,0,0,4.483767,pe.R

0.6944218,-0.1780787,-6.532495,-0.8304763,0.02253365,-0.4007601,0,0,0,4.528883,pe.R

-0.5572236,0.2555447,0.788871,-0.3601743,0.03614962,-0.09506825,0,0,0,4.677395,pe.R

11.44335,-10.79022,-36.24887,2.063972,0.02328118,0.6255171,0,0,0,4.716475,pe.R

-17.25356,15.2893,50.51429,0.5152951,0.06998403,0.2911826,0,0,0,4.753785,pe.R

-2.403015,0.8326278,3.54903,0.3917991,0.07100245,0.3698688,0,0,0,4.796712,pe.R

-7.324077,2.796372,9.51804,1.263991,0.1674748,0.7931266,0,0,0,4.846653,pe.R

2.781285,-0.9214861,-1.710369,1.053591,0.1591633,0.6190309,0,0,0,4.89436,pe.R

1.274694,-0.48403,-0.5774796,0.9662399,0.1765081,0.5356272,0,0,0,4.942327,pe.R

2.371197,-1.102565,-2.985415,0.6717109,0.1683598,0.3407559,0,0,0,5.000491,pe.R

2.006671,-1.330996,-0.1752918,0.5305794,0.06072782,0.1422214,0,0,0,5.054827,pe.R

4.449193,-2.59425,-3.39531,0.03715026,-0.2128789,-0.2005044,0,0,0,5.105019,pe.R

0.1366275,0.02070878,-1.854264,-0.615366,-0.2133226,-0.2789364,0,0,0,5.330572,pe.R

58.57179,-30.86544,-266.6454,13.58896,-2.289829,2.79354,0,0,0,5.364011,pe.R

-46.69914,25.0633,211.3407,-2.139013,-0.2303099,-0.4549332,0,0,0,5.400906,pe.R

-2.42386,1.13477,17.05929,-1.147743,-0.08905051,-0.3042949,0,0,0,5.445735,pe.R

-1.601245,-0.3255223,37.77398,0.7876202,0.2221617,-0.1512179,0,0,0,5.493162,pe.R

-7.429379,4.278625,18.3613,2.38444,0.3343576,0.1639634,0,0,0,5.539134,pe.R

0.415481,1.76101,-62.84909,0.4399681,0.03774018,0.1050936,0,0,0,5.5734,pe.R

-5.569625,4.839041,11.37171,1.544613,0.1994475,0.4266388,0,0,0,5.610524,pe.R

-1.173822,2.22176,9.926434,2.191836,0.296361,0.5780737,0,0,0,5.657139,pe.R

3.585039,0.4748885,-2.297088,2.467227,0.2800043,0.4955902,0,0,0,5.711205,pe.R

-0.292979,-0.4446661,-0.1453729,-0.02691416,0.01159046,-0.03914282,0,0,0,5.856082,pe.R

10.57174,-3.195407,-21.79526,1.543492,-0.3006038,0.689699,0,0,0,5.904622,pe.R

-4.479172,0.8267167,21.58091,-0.502685,-0.2860812,-0.4626851,0,0,0,5.955739,pe.R

-11.2992,-5.345419,14.66459,0.5081148,0.1242046,0.1329965,0,0,0,5.991535,pe.R

-12.91081,-37.35518,0.3027231,0.8363665,-0.08737668,1.22393,0,0,0,6.026418,pe.R

-78.00213,-23.33355,-15.57824,-0.4875653,-3.635526,6.642618,0,0,0,6.076679,pe.R

28.50368,43.08378,6.561471,-0.3667586,-1.448407,4.778691,0,0,0,6.121529,pe.R

-175.4863,171.0438,569.1907,24.36985,2.958783,8.667659,0,0,0,6.173047,pe.R

-1698.319,1084.371,4222.155,189.6904,10.05577,74.02229,0,0,0,6.220881,pe.R

-2037.706,2475.468,4128.498,374.812,65.92318,194.5978,0,0,0,6.269935,pe.R

864.8484,-861.4258,-1925.547,35.26566,25.08885,34.79899,0,0,0,6.448589,pe.R

1761.588,4895.562,-3874.668,51.23856,41.10652,56.10787,0,0,0,6.483117,pe.R

-250.8894,-2538.192,532.7168,5.264216,3.186936,3.351028,0,0,0,6.545536,pe.R

-110.9052,-71.70182,55.37043,-11.20371,-6.456991,-6.949784,0,0,0,6.589385,pe.R

-271.9707,-337.995,747.906,-2.956192,-3.190537,-2.626268,0,0,0,6.64097,pe.R

-26.22917,-111.8573,242.9973,1.199211,1.541821,1.274302,0,0,0,6.691898,pe.R

-66.06304,-98.30367,71.65327,-1.182066,-0.1940305,-0.59378,0,0,0,6.75717,pe.R

-62.81171,-68.77562,106.8774,0.7350639,-0.7218896,-1.312386,0,0,0,6.795392,pe.R

-134.6661,-42.23515,98.9303,2.66096,1.47626,2.802391,0,0,0,6.845385,pe.R

-41.15322,-51.21745,37.7021,1.222686,1.110275,1.773463,0,0,0,6.896118,pe.R

27.74489,17.50037,-20.09187,-0.09046543,-0.1771214,-0.5132785,0,0,0,7.06629,pe.R

9338.824,3979.248,-20625.65,-737.8943,-302.3103,-534.3935,0,0,0,7.106298,pe.R

-1404.312,358.9609,2850.242,586.4427,-1.457665,271.1281,0,0,0,7.172568,pe.R

-5438.197,-6084.861,12352.73,-141.3289,2.497171,-63.15909,0,0,0,7.208444,pe.R

-1598.707,-498.9842,3674.228,62.61417,-25.94742,37.41631,0,0,0,7.260657,pe.R

-821.987,301.1565,1755.297,160.0196,-9.982478,71.11248,0,0,0,7.321812,pe.R

275.1114,304.3739,-592.0945,99.31842,0.6246154,42.2779,0,0,0,7.378659,pe.R

-250.6579,-129.7256,526.4101,121.6622,4.104662,52.69494,0,0,0,7.427836,pe.R

1074.116,809.6161,-2368.205,16.13108,1.140944,7.428009,0,0,0,7.46558,pe.R

141.3638,101.4791,-284.6453,-0.5074011,-0.1535017,0.397036,0,0,0,7.516525,pe.R

-0.390913,4.198581,1.138067,-0.02803649,0.1972897,-0.1605449,0,0,0,7.679157,pe.R

2.115743,-8.911092,-6.529097,-0.2871162,0.9806672,-0.09802989,0,0,0,7.73735,pe.R

-4.614586,28.56471,-4.435299,1.074966,0.3948551,0.3428019,0,0,0,7.789785,pe.R

-214.7103,39.40676,548.343,21.28677,-0.2352278,8.125919,0,0,0,7.837195,pe.R

-639.3002,249.3694,1395.881,61.34663,0.2374571,27.48934,0,0,0,7.873992,pe.R

-2026.796,2155.489,4573.354,313.6923,33.52402,150.604,0,0,0,7.937129,pe.R

