LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-2.390064E-10,0.003417208,0.0007210829,0,0,0,0,0,0,0.02,pelvis

2.523907E-11,-0.0003608571,-7.614635E-05,0,0,0,0,0,0,0.3533334,pelvis

-5.439764E-12,7.777535E-05,1.641178E-05,0,0,0,0,0,0,0.5332239,pelvis

-1.413462E-11,0.0002020906,4.264418E-05,0,0,0,0,0,0,0.6388838,pelvis

-1.017405E-10,0.001454641,0.0003069515,0,0,0,0,0,0,0.6849332,pelvis

4.207197E-11,-0.0006015265,-0.0001269312,0,0,0,0,0,0,0.7581164,pelvis

-4.927666E-11,0.000704536,0.0001486678,0,0,0,0,0,0,0.8079141,pelvis

-9.01757E-11,0.001289292,0.0002720603,0,0,0,0,0,0,0.8431404,pelvis

6.462653E-11,-0.0009240018,-0.0001949784,0,0,0,0,0,0,0.8934115,pelvis

-6.787111E-12,9.703919E-05,2.047673E-05,0,0,0,0,0,0,0.9416097,pelvis

4.920256E-11,-0.0007034765,-0.0001484443,0,0,0,0,0,0,1.123375,pelvis

-1.052478E-10,0.001504787,0.0003175329,0,0,0,0,0,0,1.172223,pelvis

1.362244E-11,-0.0001947676,-4.109895E-05,0,0,0,0,0,0,1.226127,pelvis

-7.455854E-12,0.0001066003,2.249429E-05,0,0,0,0,0,0,1.277281,pelvis

7.319584E-12,-0.0001046522,-2.208318E-05,0,0,0,0,0,0,1.331291,pelvis

-4.215183E-11,0.0006026683,0.0001271722,0,0,0,0,0,0,1.374293,pelvis

3.930605E-11,-0.0005619806,-0.0001185864,0,0,0,0,0,0,1.432027,pelvis

-3.342979E-11,0.0004779646,0.0001008578,0,0,0,0,0,0,1.478746,pelvis

5.426367E-13,-7.758635E-06,-1.63718E-06,0,0,0,0,0,0,1.52561,pelvis

-5.668583E-11,0.0008104696,0.0001710214,0,0,0,0,0,0,1.562843,pelvis

3.542403E-11,-0.0005064771,-0.0001068744,0,0,0,0,0,0,1.747429,pelvis

-2.260299E-10,0.003231676,0.0006819328,0,0,0,0,0,0,1.782742,pelvis

7.56107E-11,-0.001081048,-0.0002281177,0,0,0,0,0,0,1.845951,pelvis

-1.541472E-11,0.0002203927,4.650626E-05,0,0,0,0,0,0,1.901343,pelvis

-1.192409E-10,0.001704854,0.0003597502,0,0,0,0,0,0,1.935996,pelvis

1.537469E-11,-0.0002198204,-4.638539E-05,0,0,0,0,0,0,1.972505,pelvis

5.327406E-11,-0.000761689,-0.000160728,0,0,0,0,0,0,2.020952,pelvis

-5.588885E-11,0.0007990741,0.0001686168,0,0,0,0,0,0,2.059096,pelvis

5.149021E-12,-7.361834E-05,-1.553456E-05,0,0,0,0,0,0,2.098019,pelvis

6.036983E-11,-0.0008631413,-0.000182136,0,0,0,0,0,0,2.162452,pelvis

8.069545,4768.133,33.82673,0,0,0,0,0,0,2.38962,pelvis

-1.707138E-10,0.002440791,0.0005150441,0,0,0,0,0,0,2.430177,pelvis

-4.383169E-11,0.0006266861,0.0001322403,0,0,0,0,0,0,2.465073,pelvis

5.763226E-11,-0.0008240007,-0.0001738766,0,0,0,0,0,0,2.511121,pelvis

9.681912E-12,-0.0001384279,-2.921039E-05,0,0,0,0,0,0,2.559948,pelvis

-1.38135E-11,0.0001974996,4.167538E-05,0,0,0,0,0,0,2.605169,pelvis

8.256286E-12,-0.0001180449,-2.490927E-05,0,0,0,0,0,0,2.652584,pelvis

3.029216E-11,-0.000433104,-9.13915E-05,0,0,0,0,0,0,2.714311,pelvis

-1.018666E-10,0.001456444,0.0003073318,0,0,0,0,0,0,2.752303,pelvis

2.269792E-12,-3.245235E-05,-6.847986E-06,0,0,0,0,0,0,2.790627,pelvis

3.346393E-11,-0.0004784525,-0.0001009608,0,0,0,0,0,0,2.958722,pelvis

418.9509,20403.68,820.4668,0.0168269,0.01475303,121.6324,0,0,0,3.010494,pelvis

-399.7992,-21707.33,-872.3015,0.05604549,0.01951431,-0.001028466,0,0,0,3.059176,pelvis

-7.654641,1.063759,-0.1087021,0.2369649,0.01021625,-0.009925581,0,0,0,3.101933,pelvis

1.215003,-0.4900862,-0.09359544,-0.08236342,-0.003676812,-0.007721571,0,0,0,3.155659,pelvis

-0.1596512,0.1011149,-0.2291159,-0.08511342,-0.01554697,0.005850094,0,0,0,3.221274,pelvis

11.3504,-2.240611,-0.3844306,-0.1056975,0.07901275,0.004373955,0,0,0,3.258231,pelvis

9.928888,-2.042488,-0.2965015,-0.1248347,0.0952825,0.00566586,0,0,0,3.294167,pelvis

14.81052,-3.015315,-0.445896,-0.1641275,0.1232827,0.009177219,0,0,0,3.34623,pelvis

-19.04475,3.798355,0.1477947,-0.122061,0.08403493,0.008710216,0,0,0,3.394733,pelvis

0.4549857,-0.09547386,0.01381018,-0.04462777,0.02372066,0.003482103,0,0,0,3.548476,pelvis

78.36578,-15.76137,-0.6970454,-0.186438,-0.008035271,-0.006732987,0,0,0,3.590544,pelvis

-77.70878,15.43109,1.511563,-0.0375408,-0.09221371,-0.03063992,0,0,0,3.632003,pelvis

-9.281139,3.235121,0.1649477,0.01443737,-0.09614959,-0.002052814,0,0,0,3.674279,pelvis

-6.459561,1.931115,0.3977372,0.06281196,-0.1310421,0.007533696,0,0,0,3.725294,pelvis

-10.73686,0.194516,-0.8111312,0.02617443,-0.03702241,0.000211539,0,0,0,3.759106,pelvis

-7.545153,1.295789,0.3501106,0.06267552,-0.05779265,-0.01086303,0,0,0,3.811692,pelvis

3.048671,-1.037103,-0.5937822,0.03198448,-0.02706792,-0.01514979,0,0,0,3.845087,pelvis

-4.063067,0.9839721,0.001918103,0.05284565,-0.02099805,-0.01224298,0,0,0,3.891863,pelvis

-24.55317,6.719532,0.1082075,0.204682,0.009575168,0.02142067,0,0,0,3.939724,pelvis

1.05777,-0.2822174,-0.03359675,0.05870893,0.001610736,0.002718162,0,0,0,4.090567,pelvis

