LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-2.381727E-10,0.003611282,0.0008533577,0,0,0,0,0,0,0.02,pescoco

2.515104E-11,-0.0003813513,-9.011457E-05,0,0,0,0,0,0,0.3533334,pescoco

-5.420791E-12,8.219246E-05,1.942235E-05,0,0,0,0,0,0,0.5332239,pescoco

-1.408532E-11,0.0002135679,5.04668E-05,0,0,0,0,0,0,0.6388838,pescoco

-1.013857E-10,0.001537255,0.0003632584,0,0,0,0,0,0,0.6849332,pescoco

4.192522E-11,-0.0006356891,-0.0001502154,0,0,0,0,0,0,0.7581164,pescoco

-4.910479E-11,0.0007445487,0.0001759393,0,0,0,0,0,0,0.8079141,pescoco

-8.986115E-11,0.001362515,0.0003219668,0,0,0,0,0,0,0.8431404,pescoco

6.440112E-11,-0.0009764786,-0.0002307451,0,0,0,0,0,0,0.8934115,pescoco

-6.763447E-12,0.0001025502,2.423296E-05,0,0,0,0,0,0,0.9416097,pescoco

4.903095E-11,-0.0007434291,-0.0001756747,0,0,0,0,0,0,1.123375,pescoco

-1.048807E-10,0.001590248,0.0003757809,0,0,0,0,0,0,1.172223,pescoco

1.357492E-11,-0.0002058291,-4.86381E-05,0,0,0,0,0,0,1.226127,pescoco

-7.429843E-12,0.0001126546,2.662063E-05,0,0,0,0,0,0,1.277281,pescoco

7.29405E-12,-0.0001105958,-2.613411E-05,0,0,0,0,0,0,1.331291,pescoco

-4.200481E-11,0.0006368959,0.0001505005,0,0,0,0,0,0,1.374293,pescoco

3.916895E-11,-0.0005938972,-0.0001403398,0,0,0,0,0,0,1.432027,pescoco

-3.331319E-11,0.0005051097,0.0001193591,0,0,0,0,0,0,1.478746,pescoco

5.407489E-13,-8.199097E-06,-1.937485E-06,0,0,0,0,0,0,1.52561,pescoco

-5.648813E-11,0.000856498,0.0002023933,0,0,0,0,0,0,1.562843,pescoco

3.530047E-11,-0.0005352415,-0.0001264793,0,0,0,0,0,0,1.747429,pescoco

-2.252415E-10,0.003415213,0.0008070259,0,0,0,0,0,0,1.782742,pescoco

7.534696E-11,-0.001142444,-0.0002699633,0,0,0,0,0,0,1.845951,pescoco

-1.536095E-11,0.0002329096,5.50373E-05,0,0,0,0,0,0,1.901343,pescoco

-1.18825E-10,0.001801678,0.0004257425,0,0,0,0,0,0,1.935996,pescoco

1.532104E-11,-0.0002323048,-5.489443E-05,0,0,0,0,0,0,1.972505,pescoco

5.308824E-11,-0.0008049475,-0.0001902117,0,0,0,0,0,0,2.020952,pescoco

-5.569388E-11,0.0008444557,0.0001995477,0,0,0,0,0,0,2.059096,pescoco

5.131038E-12,-7.779929E-05,-1.838421E-05,0,0,0,0,0,0,2.098019,pescoco

6.015927E-11,-0.0009121617,-0.0002155468,0,0,0,0,0,0,2.162452,pescoco

8.069124,4768.133,33.82618,0,0,0,0,0,0,2.38962,pescoco

1.26981E-11,0.002589026,-0.0001091162,0,0,0,0,0,0,2.430177,pescoco

3.260306E-12,0.0006647461,-2.801618E-05,0,0,0,0,0,0,2.465073,pescoco

-4.286825E-12,-0.000874044,3.683717E-05,0,0,0,0,0,0,2.511121,pescoco

-7.20165E-13,-0.0001468348,6.188455E-06,0,0,0,0,0,0,2.559948,pescoco

1.027481E-12,0.0002094941,-8.829273E-06,0,0,0,0,0,0,2.605169,pescoco

-6.141231E-13,-0.0001252139,5.277237E-06,0,0,0,0,0,0,2.652584,pescoco

-2.253203E-12,-0.0004594074,1.936203E-05,0,0,0,0,0,0,2.714311,pescoco

7.577083E-12,0.001544897,-6.511073E-05,0,0,0,0,0,0,2.752303,pescoco

-1.688329E-13,-3.442342E-05,1.450803E-06,0,0,0,0,0,0,2.790627,pescoco

-2.489127E-12,-0.0005075099,2.138935E-05,0,0,0,0,0,0,2.958722,pescoco

-1653.654,18773.07,-2395.728,119.0191,32.16258,51.76971,0,0,0,3.010494,pescoco

1805.151,-19966.12,2547.17,-0.0560857,-0.01943312,0.0006268747,0,0,0,3.059176,pescoco

-7.752054,-0.1571699,0.1033129,-0.06718168,-0.01141999,-0.007851246,0,0,0,3.101933,pescoco

1.263739,-0.3233761,-0.08335251,-0.08245218,0.003408142,-0.005112213,0,0,0,3.155659,pescoco

-0.2014794,0.05290861,-0.2604842,-0.08505528,0.04464966,0.008371811,0,0,0,3.221274,pescoco

11.49272,-0.5434158,-0.6148217,-0.1058781,0.08009885,0.007431852,0,0,0,3.258231,pescoco

10.09388,-0.55759,-0.4688325,-0.1243172,0.09596135,0.00934137,0,0,0,3.294167,pescoco

15.06244,-0.785759,-0.7090842,-0.1638528,0.1248541,0.01406807,0,0,0,3.34623,pescoco

-19.35412,0.8922215,0.504362,-0.1218251,0.08556853,0.01195443,0,0,0,3.394733,pescoco

0.4665236,-0.02337612,0.006877182,-0.04448564,0.02444579,0.004832306,0,0,0,3.548476,pescoco

79.86898,-3.794344,-1.960829,-0.1862793,-0.008705276,-0.001450879,0,0,0,3.590544,pescoco

-79.0386,3.649547,2.90018,-0.03884047,-0.09495614,-0.02944376,0,0,0,3.632003,pescoco

-9.625427,1.877483,0.1227519,0.01459528,-0.0967304,-0.002887475,0,0,0,3.674279,pescoco

-6.622026,1.01982,0.4169237,0.06332605,-0.1304096,0.005982091,0,0,0,3.725294,pescoco

-10.82329,-1.617655,-0.4406628,0.02587827,-0.03700522,-0.0009025665,0,0,0,3.759106,pescoco

-7.636649,0.1881361,0.4912909,0.06204078,-0.05919354,-0.01276723,0,0,0,3.811692,pescoco

3.102171,-0.6834425,-0.5872983,0.0322415,-0.02832911,-0.01553532,0,0,0,3.845087,pescoco

-4.171691,0.38124,0.02570112,0.05229517,-0.02283454,-0.01370072,0,0,0,3.891863,pescoco

-25.29777,3.053608,0.1551035,0.2053196,0.0114775,0.01530333,0,0,0,3.939724,pescoco

1.085382,-0.1278246,-0.03921204,0.05856097,0.001623288,0.0008116442,0,0,0,4.090567,pescoco

-65.75165,5.58325,0.693709,0.2756892,-0.06609157,0.006433693,0,0,0,4.142744,pescoco

5.168288,-2.096586,0.661758,0.03290612,-0.1290831,0.005808742,0,0,0,4.190028,pescoco

28.80613,-2.797169,-0.4890999,-0.04654444,-0.08453389,0.002601043,0,0,0,4.236959,pescoco

-2.057509,-0.561758,0.4130422,-0.04525738,-0.08003411,0.0006351913,0,0,0,4.285004,pescoco

7.592021,-0.7719616,-0.07421891,-0.03925461,-0.05230712,-0.004143138,0,0,0,4.34393,pescoco

7.326733,-0.7008889,-0.2616887,-0.03701169,-0.03098758,-0.007206414,0,0,0,4.386278,pescoco

-37.06864,-1.356522,0.939231,-0.1012778,-0.0160318,-0.03021378,0,0,0,4.435771,pescoco

21.39879,-0.8970265,-1.331519,-0.0921064,0.06930582,-0.01526,0,0,0,4.483767,pescoco

2.909409,0.1931614,-0.9953012,-0.08119301,0.1400215,0.02435156,0,0,0,4.528883,pescoco

2.418406,0.08106517,0.0009534641,-0.02532694,0.03608128,0.006560234,0,0,0,4.677395,pescoco

-186.5954,-8.696434,0.8084689,-0.2137525,0.1897636,0.03670325,0,0,0,4.716475,pescoco

127.4821,5.712516,1.467961,-0.08022092,0.02044822,0.005725502,0,0,0,4.753785,pescoco

9.271156,0.3567194,0.235025,-0.06468198,0.002132739,0.002843652,0,0,0,4.796712,pescoco

-45.23358,-2.367937,1.854347,-0.08219059,0.001833247,0.001833247,0,0,0,4.846653,pescoco

29.26664,1.348348,-1.063645,-0.0402406,-0.001279383,0,0,0,0,4.89436,pescoco

5.06816,0.2047289,-0.3595797,-0.02464313,-0.001272417,-0.001908625,0,0,0,4.942327,pescoco

12.53422,0.6455002,-0.5786369,-0.009960906,-0.002098759,-0.002098759,0,0,0,5.000491,pescoco

-11.58158,-0.6378975,0.07624476,0.000868794,-0.003931512,-0.003369868,0,0,0,5.054827,pescoco

8.674764,0.5090837,-0.2757531,0.0146777,-0.004256058,-0.004256058,0,0,0,5.105019,pescoco

4.709044,0.2563245,-0.0767964,0.01362198,-0.001763452,-0.001983884,0,0,0,5.330572,pescoco

-77.24288,-2.602704,9.109937,0.2002495,-0.01916509,-0.02007771,0,0,0,5.364011,pescoco

95.10413,3.823401,-9.238565,0.05313154,-0.003308605,-0.004135756,0,0,0,5.400906,pescoco

7.222786,0.268347,-0.7733888,0.05122638,-0.003403746,-0.003403746,0,0,0,5.445735,pescoco

31.63886,1.538618,-2.143718,0.1052996,-0.004504364,-0.005147844,0,0,0,5.493162,pescoco

-1.74101,-0.03788277,1.259866,0.06692132,-0.001327639,-0.001991459,0,0,0,5.539134,pescoco

-17.25498,-0.8581364,1.403675,0.03918745,-0.0008906238,-0.0008906238,0,0,0,5.5734,pescoco

31.58862,1.709043,-0.09998363,0.0663412,-0.00082204,-0.00164408,0,0,0,5.610524,pescoco

0.07748635,0.01797114,0.7580624,0.05721203,-0.0006546701,-0.0006546701,0,0,0,5.657139,pescoco

52.00037,2.900932,-0.6705037,0.1011518,-0.0005644536,-0.001693361,0,0,0,5.711205,pescoco

-14.46598,-0.8119738,0.109833,0.0204419,-0.0002743303,-0.0002743303,0,0,0,5.856082,pescoco

168.6069,9.306908,-4.255559,0.1431306,-0.001257428,-0.002514855,0,0,0,5.904622,pescoco

-72.27332,-4.505629,0.6260376,0.08582063,0,-0.001194026,0,0,0,5.955739,pescoco

-80.00764,-36.49184,10.30809,0.3731335,0.002557625,-0.007672874,0,0,0,5.991535,pescoco

43.90934,-197.4751,49.33741,2.944835,-0.05774079,-0.1224805,0,0,0,6.026418,pescoco

17.16992,-483.225,144.6051,15.86216,-0.273838,-0.615073,0,0,0,6.076679,pescoco

-71.97892,323.9839,-61.60348,13.60833,0.007484869,-0.3701608,0,0,0,6.121529,pescoco

69.47291,-440.0619,383.823,77.50511,0.1356513,-2.058464,0,0,0,6.173047,pescoco

-94.00216,1586.832,-788.7178,86.30828,-1.065453,-2.684049,0,0,0,6.220881,pescoco

-69.25265,1029.364,-921.4309,91.95557,-0.8722081,-2.809481,0,0,0,6.269935,pescoco

13.356,-369.0353,296.9835,19.43206,-0.3066331,-0.665513,0,0,0,6.448589,pescoco

-18.10624,-83.51118,-806.5266,247.0284,-4.633986,-9.475676,0,0,0,6.483117,pescoco

15.29117,-111.9155,515.1378,52.26136,-1.414922,-2.235811,0,0,0,6.545536,pescoco

-5.836222,79.87616,2.290822,15.95913,-0.517109,-0.6493442,0,0,0,6.589385,pescoco

3.154719,-10.40911,49.40368,-1.464193,0.1171355,0.1141775,0,0,0,6.64097,pescoco

2.277005,-17.09835,16.40329,-1.333589,0.05093464,0.09707543,0,0,0,6.691898,pescoco

0.6293404,-18.19241,13.80886,0.05540388,-0.07246921,0.0140263,0,0,0,6.75717,pescoco

-0.5690416,-21.65143,16.08622,0.2941254,-0.1173707,0.00479064,0,0,0,6.795392,pescoco

1.390995,-20.72687,16.36543,0.3370362,-0.1239182,0.01465043,0,0,0,6.845385,pescoco

0.52048,6.151619,-4.495939,-0.137525,-0.01383521,0.04571633,0,0,0,6.896118,pescoco

0.3955064,-1.053786,2.571377,-0.5264083,0.04497382,0.04586146,0,0,0,7.06629,pescoco

37.27235,-754.7158,926.1359,-43.6579,2.200635,1.912302,0,0,0,7.106298,pescoco

2.175711,-130.1041,11.48736,-56.34594,1.218491,2.108183,0,0,0,7.172568,pescoco

14.24539,-238.8529,85.74947,-65.57337,1.075237,2.329112,0,0,0,7.208444,pescoco

5.821047,-353.4598,111.3147,-100.3934,1.592109,3.482884,0,0,0,7.260657,pescoco

-27.41452,469.8432,-401.9089,-75.62195,1.10583,2.541015,0,0,0,7.321812,pescoco

-8.773755,353.9518,-238.7067,-44.98506,0.5201997,1.470947,0,0,0,7.378659,pescoco

-10.29855,-102.2938,-34.30394,-88.04235,0.9010546,2.84217,0,0,0,7.427836,pescoco

-54.96232,902.7227,-324.0714,-84.35277,0.3072432,2.505649,0,0,0,7.46558,pescoco

-58.95465,1304.197,-168.5485,-61.1042,0.269564,1.781518,0,0,0,7.516525,pescoco

30.09398,-483.7081,65.0575,-2.505425,0.04056267,0.09428806,0,0,0,7.679157,pescoco

39.12384,-548.0259,147.9821,8.604756,0.006817473,-0.2475267,0,0,0,7.73735,pescoco

73.9492,-803.6934,379.5414,54.53877,-0.2229086,-1.605756,0,0,0,7.789785,pescoco

-83.38184,1429.203,-382.6568,50.06651,0.01029901,-1.372987,0,0,0,7.837195,pescoco

-38.15924,504.7555,-342.278,37.75386,-0.5258163,-1.224969,0,0,0,7.873992,pescoco

-30.06208,896.7047,-640.657,86.61495,-0.8927608,-2.658465,0,0,0,7.937129,pescoco

-43.06628,490.0881,-821.5911,118.3793,-1.569954,-3.714531,0,0,0,7.98174,pescoco

47.57874,-1447.156,1048.378,72.67275,-1.164906,-2.507866,0,0,0,8.028188,pescoco

