LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
0,0,0,0,0,0,0,0,0,0.02,pontape.R

0,0,0,0,0,0,0,0,0,0.3533334,pontape.R

0,0,0,0,0,0,0,0,0,0.5332239,pontape.R

0,0,0,0,0,0,0,0,0,0.6388838,pontape.R

0,0,0,0,0,0,0,0,0,0.6849332,pontape.R

0,0,0,0,0,0,0,0,0,0.7581164,pontape.R

0,0,0,0,0,0,0,0,0,0.8079141,pontape.R

0,0,0,0,0,0,0,0,0,0.8431404,pontape.R

0,0,0,0,0,0,0,0,0,0.8934115,pontape.R

0,0,0,0,0,0,0,0,0,0.9416097,pontape.R

0,0,0,0,0,0,0,0,0,1.123375,pontape.R

0,0,0,0,0,0,0,0,0,1.172223,pontape.R

0,0,0,0,0,0,0,0,0,1.226127,pontape.R

0,0,0,0,0,0,0,0,0,1.277281,pontape.R

0,0,0,0,0,0,0,0,0,1.331291,pontape.R

0,0,0,0,0,0,0,0,0,1.374293,pontape.R

0,0,0,0,0,0,0,0,0,1.432027,pontape.R

0,0,0,0,0,0,0,0,0,1.478746,pontape.R

0,0,0,0,0,0,0,0,0,1.52561,pontape.R

0,0,0,0,0,0,0,0,0,1.562843,pontape.R

0,0,0,0,0,0,0,0,0,1.747429,pontape.R

0,0,0,0,0,0,0,0,0,1.782742,pontape.R

0,0,0,0,0,0,0,0,0,1.845951,pontape.R

0,0,0,0,0,0,0,0,0,1.901343,pontape.R

0,0,0,0,0,0,0,0,0,1.935996,pontape.R

0,0,0,0,0,0,0,0,0,1.972505,pontape.R

0,0,0,0,0,0,0,0,0,2.020952,pontape.R

0,0,0,0,0,0,0,0,0,2.059096,pontape.R

0,0,0,0,0,0,0,0,0,2.098019,pontape.R

0,0,0,0,0,0,0,0,0,2.162452,pontape.R

8.069737,701.2853,-6710.561,0,0,0,0,0,0,2.38962,pontape.R

-0.002494527,-0.03741809,-0.006236367,0,0,0,0,0,0,2.430177,pontape.R

-0.0006404831,-0.009607297,-0.00160122,0,0,0,0,0,0,2.465073,pontape.R

0.0008421416,0.01263219,0.002105371,0,0,0,0,0,0,2.511121,pontape.R

0.0001414755,0.002122143,0.000353691,0,0,0,0,0,0,2.559948,pontape.R

-0.0002018475,-0.003027729,-0.000504623,0,0,0,0,0,0,2.605169,pontape.R

0.0001206437,0.001809665,0.0003016123,0,0,0,0,0,0,2.652584,pontape.R

0.0004426391,0.006639619,0.001106606,0,0,0,0,0,0,2.714311,pontape.R

-0.001488509,-0.02232774,-0.003721301,0,0,0,0,0,0,2.752303,pontape.R

3.316696E-05,0.000497512,8.291817E-05,0,0,0,0,0,0,2.790627,pontape.R

0.0004889861,0.007334827,0.001222475,0,0,0,0,0,0,2.958722,pontape.R

7830.888,23760.73,-16344.28,968.0851,464.5114,0.2658894,0,0,0,3.010494,pontape.R

-8336.163,-25269.69,17390.58,-0.08274746,0.2268895,0.1936982,0,0,0,3.059176,pontape.R

7.719542,-1.007937,-21.49142,-0.6216759,0.001650546,-0.1096484,0,0,0,3.101933,pontape.R

2.755059,-0.4807848,-2.701214,-0.7009411,-0.04483836,-0.1999122,0,0,0,3.155659,pontape.R

2.122789,-0.08773063,1.081285,-0.6032355,-0.04017307,0.2534798,0,0,0,3.221274,pontape.R

3.402531,-0.7028888,0.4525398,-0.5904194,-0.03494003,-0.3385622,0,0,0,3.258231,pontape.R

2.198653,-0.6651398,0.1299001,-0.5902048,-0.05201445,-0.4229093,0,0,0,3.294167,pontape.R

2.37566,-0.6359438,0.2487283,-0.6189952,-0.0758357,-0.5562751,0,0,0,3.34623,pontape.R

-3.743738,1.670951,6.526139,-0.2629974,-0.05709812,-0.3793958,0,0,0,3.394733,pontape.R

-0.5181089,0.4226219,1.129416,0.2342247,0.02039518,0.01506543,0,0,0,3.548476,pontape.R

-11.7669,13.84124,47.96548,3.478483,0.334065,0.8966435,0,0,0,3.590544,pontape.R

3.755866,-8.074587,-22.06757,1.908692,0.09707241,0.3658388,0,0,0,3.632003,pontape.R

-2.199758,2.16257,-2.952956,1.78085,0.1344481,0.5110831,0,0,0,3.674279,pontape.R

-5.53026,3.544877,16.36289,2.750098,0.4319444,0.9409829,0,0,0,3.725294,pontape.R

14.02007,-12.06138,-36.52127,0.9733425,0.1552414,0.2609937,0,0,0,3.759106,pontape.R

-1.143916,0.04003504,-3.040242,0.913046,0.1750417,0.3201396,0,0,0,3.811692,pontape.R

7.273966,-5.19402,-20.37248,-0.08479055,-0.002855757,-0.001536977,0,0,0,3.845087,pontape.R

0.02037823,-0.1044456,-2.9362,-0.2494986,-0.01247744,-0.004886346,0,0,0,3.891863,pontape.R

-1.014932,0.6578243,-7.246505,-0.7198153,-0.01606052,0.02541837,0,0,0,3.939724,pontape.R

0.0387383,-0.02060244,0.6174606,-0.1412714,-0.007558437,-0.01082513,0,0,0,4.090567,pontape.R

-2.635788,-0.7032799,4.852661,-0.7117237,-0.09263056,-0.04520991,0,0,0,4.142744,pontape.R

-1.31936,1.973204,9.766873,0.3304552,-0.1322699,0.06541114,0,0,0,4.190028,pontape.R

