LinAccel: x,y,z,AngVel: x,y,z,Magnetometer: x,y,z,time,name
-7.847011E-10,0.003660138,0.0008405258,0,0,0,0,0,0,0.02,torax

8.286443E-11,-0.0003865106,-8.875952E-05,0,0,0,0,0,0,0.3533334,torax

-1.785973E-11,8.330443E-05,1.91303E-05,0,0,0,0,0,0,0.5332239,torax

-4.64065E-11,0.0002164573,4.970793E-05,0,0,0,0,0,0,0.6388838,torax

-3.340326E-10,0.001558052,0.0003577961,0,0,0,0,0,0,0.6849332,torax

1.381299E-10,-0.0006442891,-0.0001479566,0,0,0,0,0,0,0.7581164,torax

-1.617842E-10,0.0007546216,0.0001732938,0,0,0,0,0,0,0.8079141,torax

-2.960631E-10,0.001380948,0.0003171254,0,0,0,0,0,0,0.8431404,torax

2.121806E-10,-0.0009896893,-0.0002272754,0,0,0,0,0,0,0.8934115,torax

-2.228331E-11,0.0001039376,2.386859E-05,0,0,0,0,0,0,0.9416097,torax

1.615409E-10,-0.0007534869,-0.0001730331,0,0,0,0,0,0,1.123375,torax

-3.455475E-10,0.001611763,0.0003701303,0,0,0,0,0,0,1.172223,torax

4.472491E-11,-0.0002086138,-4.790671E-05,0,0,0,0,0,0,1.226127,torax

-2.447888E-11,0.0001141786,2.622034E-05,0,0,0,0,0,0,1.277281,torax

2.40315E-11,-0.0001120919,-2.574115E-05,0,0,0,0,0,0,1.331291,torax

-1.383921E-10,0.0006455125,0.0001482375,0,0,0,0,0,0,1.374293,torax

1.290489E-10,-0.0006019321,-0.0001382296,0,0,0,0,0,0,1.432027,torax

-1.097561E-10,0.0005119433,0.0001175643,0,0,0,0,0,0,1.478746,torax

1.781619E-12,-8.310261E-06,-1.908375E-06,0,0,0,0,0,0,1.52561,torax

-1.861099E-10,0.0008680861,0.00019935,0,0,0,0,0,0,1.562843,torax

1.163035E-10,-0.0005424828,-0.0001245775,0,0,0,0,0,0,1.747429,torax

-7.42097E-10,0.003461417,0.0007948907,0,0,0,0,0,0,1.782742,torax

2.482436E-10,-0.001157901,-0.0002659039,0,0,0,0,0,0,1.845951,torax

-5.060928E-11,0.0002360606,5.42097E-05,0,0,0,0,0,0,1.901343,torax

-3.914895E-10,0.001826053,0.0004193407,0,0,0,0,0,0,1.935996,torax

5.04779E-11,-0.0002354476,-5.406896E-05,0,0,0,0,0,0,1.972505,torax

1.749083E-10,-0.0008158378,-0.0001873516,0,0,0,0,0,0,2.020952,torax

-1.834931E-10,0.0008558804,0.0001965471,0,0,0,0,0,0,2.059096,torax

1.690512E-11,-7.885172E-05,-1.810774E-05,0,0,0,0,0,0,2.098019,torax

1.98205E-10,-0.0009245024,-0.0002123057,0,0,0,0,0,0,2.162452,torax

8.069001,4768.133,33.8262,0,0,0,0,0,0,2.38962,torax

-4.306359E-10,0.00243453,0.0001685619,0,0,0,0,0,0,2.430177,torax

-1.10568E-10,0.0006250786,4.327916E-05,0,0,0,0,0,0,2.465073,torax

1.453808E-10,-0.0008218868,-5.690574E-05,0,0,0,0,0,0,2.511121,torax

2.442322E-11,-0.0001380728,-9.55989E-06,0,0,0,0,0,0,2.559948,torax

-3.484542E-11,0.0001969929,1.363938E-05,0,0,0,0,0,0,2.605169,torax

2.082703E-11,-0.0001177421,-8.152223E-06,0,0,0,0,0,0,2.652584,torax

7.641379E-11,-0.0004319929,-2.99103E-05,0,0,0,0,0,0,2.714311,torax

-2.569646E-10,0.001452708,0.0001005825,0,0,0,0,0,0,2.752303,torax

5.725709E-12,-3.236957E-05,-2.241194E-06,0,0,0,0,0,0,2.790627,torax

8.441477E-11,-0.0004772252,-3.304209E-05,0,0,0,0,0,0,2.958722,torax

-1725.086,18628.21,2837.756,163.4136,9.189055,55.8629,0,0,0,3.010494,torax

1881.117,-19811.75,-3018.441,-0.05641872,-0.01943312,-0.0006268747,0,0,0,3.059176,torax

-7.747563,-0.1854188,-0.005470962,-0.06709246,-0.008564996,-0.009278745,0,0,0,3.101933,torax

1.269408,-0.2814992,-0.1478963,-0.08236342,0.004544189,-0.006816283,0,0,0,3.155659,torax

-0.1865471,0.1189155,-0.240225,-0.08511342,0.04325436,0.006511409,0,0,0,3.221274,torax

11.51901,-0.339302,-0.6256153,-0.1056975,0.07762156,0.004954568,0,0,0,3.258231,torax

10.10769,-0.3858213,-0.504394,-0.1248347,0.09511214,0.006793724,0,0,0,3.294167,torax

15.08065,-0.5380583,-0.7485132,-0.1641275,0.1213371,0.01055105,0,0,0,3.34623,torax

-19.37499,0.6786976,0.5375886,-0.122061,0.08242264,0.01006689,0,0,0,3.394733,torax

0.4651439,-0.02228071,0.004197837,-0.04462777,0.02330877,0.003695293,0,0,0,3.548476,torax

79.87808,-2.936617,-2.143535,-0.186438,-0.007254397,-0.005078078,0,0,0,3.590544,torax

-79.11375,2.550012,3.020503,-0.0375408,-0.08759519,-0.03017986,0,0,0,3.632003,torax

-9.631598,1.74283,0.4979854,0.01443737,-0.09600854,-0.002887475,0,0,0,3.674279,torax

-6.642728,0.848151,0.6020832,0.06281196,-0.1322042,0.007178509,0,0,0,3.725294,torax

-10.75663,-1.45434,-0.9212357,0.02617443,-0.03700522,0,0,0,0,3.759106,torax

-7.649394,0.02501049,0.4497017,0.06267552,-0.05571157,-0.01102625,0,0,0,3.811692,torax

3.126895,-0.4775896,-0.7063367,0.03198448,-0.02558758,-0.01644916,0,0,0,3.845087,torax

-4.17066,0.333221,0.08189092,0.05284565,-0.01892005,-0.01239589,0,0,0,3.891863,torax

-25.29193,2.803568,0.6815601,0.204682,0.007014025,0.0197668,0,0,0,3.939724,torax

1.086664,-0.1062153,-0.05899391,0.05870893,0.00135274,0.002164385,0,0,0,4.090567,torax

-65.80094,4.999693,1.487271,0.275479,-0.06901598,0.01169762,0,0,0,4.142744,torax

5.140378,-2.0809,0.1834029,0.0329162,-0.130374,0.006454158,0,0,0,4.190028,torax

28.83846,-2.490618,-0.9219486,-0.04681877,-0.08518415,0.002601043,0,0,0,4.236959,torax

-2.055673,-0.6531227,0.2436927,-0.04509859,-0.08003411,-0.001270383,0,0,0,4.285004,torax

7.604196,-0.713891,-0.2024897,-0.03935981,-0.05127133,-0.00466103,0,0,0,4.34393,torax

7.340116,-0.5975363,-0.3665339,-0.03675271,-0.02882566,-0.007927055,0,0,0,4.386278,torax

-37.0629,-1.601453,0.2509236,-0.100507,-0.008015899,-0.0320636,0,0,0,4.435771,torax

21.44914,-0.4873601,-1.33189,-0.09219582,0.07375665,-0.01780333,0,0,0,4.483767,torax

2.947929,0.4391966,-0.888452,-0.08117186,0.1339336,0.0229987,0,0,0,4.528883,torax

2.414593,0.08040261,0.04043916,-0.02514756,0.03471457,0.006013548,0,0,0,4.677395,torax

-186.4822,-8.916729,-3.003537,-0.214753,0.1803925,0.03279865,0,0,0,4.716475,torax

127.3515,5.350629,3.945537,-0.08015702,0.01963029,0.004089644,0,0,0,4.753785,torax

9.259815,0.3051705,0.3928573,-0.06469309,0.002132739,0.001421826,0,0,0,4.796712,torax

-45.23637,-2.858779,0.8013558,-0.08249613,0.001222165,0,0,0,0,4.846653,torax

29.26772,1.622205,-0.4349639,-0.04030057,-0.0006396917,-0.001279383,0,0,0,4.89436,torax

5.069378,0.2925735,-0.255327,-0.02481212,-0.001272417,-0.001908625,0,0,0,4.942327,torax

12.53596,0.7952259,-0.2906887,-0.009444415,-0.001574069,-0.002098759,0,0,0,5.000491,torax

-11.57911,-0.6672568,-0.188626,0.001123289,-0.002808223,-0.003931512,0,0,0,5.054827,torax

8.673989,0.5762699,-0.06376888,0.0145922,-0.003040042,-0.004256058,0,0,0,5.105019,torax

4.708709,0.2779135,0.03205815,0.01366675,-0.001322589,-0.001763452,0,0,0,5.330572,torax

-77.30819,-5.108658,7.453664,0.1998645,-0.01460197,-0.01642722,0,0,0,5.364011,torax

95.16415,6.325489,-7.123737,0.05376483,-0.002481454,-0.002481454,0,0,0,5.400906,torax

7.226262,0.4747804,-0.6105837,0.05105619,-0.002042248,-0.002042248,0,0,0,5.445735,torax

31.64862,2.076942,-1.42044,0.1055308,-0.003860883,-0.003217403,0,0,0,5.493162,torax

-1.751159,-0.3469115,1.200981,0.06704578,-0.001327639,-0.001327639,0,0,0,5.539134,torax

-17.26536,-1.194414,0.9949098,0.03918745,0,0,0,0,0,5.5734,torax

31.58803,1.725087,0.6027361,0.06658524,-0.00082204,0.00082204,0,0,0,5.610524,torax

0.07140508,-0.1701788,0.7418547,0.0569563,-0.0006546701,0,0,0,0,5.657139,torax

51.98972,3.068557,0.5313504,0.1010372,-0.0005644536,0.0005644536,0,0,0,5.711205,torax

-14.4632,-0.8401789,-0.2240792,0.02057478,-0.0002743303,0.0002743303,0,0,0,5.856082,torax

168.5962,10.39713,-0.3117616,0.142718,-0.0006287138,0.0006287138,0,0,0,5.904622,torax

-72.25862,-4.652948,-1.154957,0.08776093,-0.0005970131,0.0005970131,0,0,0,5.955739,torax

-79.91921,-38.193,-0.5123262,0.5439215,0.003410166,-0.0008525415,0,0,0,5.991535,torax

44.37322,-204.6922,-4.880121,4.001611,-0.03499442,-0.06998883,0,0,0,6.026418,torax

18.23896,-508.6624,13.74757,19.1292,-0.1596882,-0.3096616,0,0,0,6.076679,torax

